id,title,number,year,region_name,region_type,region_code,category,subject,status,source,detail_url,pdf_url,pdf_path,description,enacted_date,published_date,metadata,scraped_at,updated_at
571,"Susunan Organisasi, Tugas Pokok, Fungsi, Uraian Tugas, dan Sistem Kerja Sekretariat Dewan Perwakilan Rakyat Daerah Kota Batam",13,2025,Kota Batam,Kota,,,,"Otonomi Daerah dan Pemerintah Daerah, Struktur Organisasi",bpk,https://peraturan.bpk.go.id/Details/317701/perda-kota-batam-no-13-tahun-2025,https://peraturan.bpk.go.id/Download/379086/Perwali%20Batam%20No%2013%20Tahun%202024.pdf,docs\bpk\2025\Kota_Batam\Susunan_Organisasi_Tugas_Pokok_Fungsi_Uraian_Tugas_dan_Sistem_Kerja_Sekretariat_Dewan_Perwakilan.pdf,,,,,2025-10-01 08:09:06,2025-10-01T15:09:06.739699
572,Perubahan Rencana Kerja Pemerintah Daerah Kota Bekasi Tahun 2025,13,2025,Kota Bekasi,Kota,,,,"Program, Rencana Pembangunan dan Rencana Kerja",bpk,https://peraturan.bpk.go.id/Details/326397/perda-kota-bekasi-no-13-tahun-2025,https://peraturan.bpk.go.id/Download/388197/Perwali%20Kota%20Bekasi%20No.%2013%20Tahun%202025.pdf,docs\bpk\2025\Kota_Bekasi\Perubahan_Rencana_Kerja_Pemerintah_Daerah_Kota_Bekasi_Tahun_2025.pdf,,,,,2025-10-01 08:09:06,2025-10-01T15:09:06.858820
573,Perubahan Kedua Atas Peraturan Gubernur Nomor 054 Tahun 2024 tentang Penjabaran Anggaran Pendapatan dan Belanja Daerah Provinsi Kalimantan Selatan Tahun Anggaran 2025.,11,2025,Provinsi Kalimantan Selatan,Provinsi,,,,APBD,bpk,https://peraturan.bpk.go.id/Details/324574/perda-prov-kalimantan-selatan-no-11-tahun-202,https://peraturan.bpk.go.id/Download/386361/Pergub%20no%2011%20Prov%20Kalsel%20thn%202025.pdf,docs\bpk\2025\Provinsi_Kalimantan_Selatan\Perubahan_Kedua_Atas_Peraturan_Gubernur_Nomor_054_Tahun_2024_tentang_Penjabaran_Anggaran_Pendapatan.pdf,,,,,2025-10-01 08:09:06,2025-10-01T15:09:06.900367
574,Pertanggungjawaban Pelaksanaan Anggaran Pendapatan dan Belanja Daerah Tahun Anggaran 2024,11,2025,Kota Madiun,Kota,,,,APBD,bpk,https://peraturan.bpk.go.id/Details/328547/perda-kota-madiun-no-11-tahun-2025,https://peraturan.bpk.go.id/Download/390406/11%202025.pdf,docs\bpk\2025\Kota_Madiun\Pertanggungjawaban_Pelaksanaan_Anggaran_Pendapatan_dan_Belanja_Daerah_Tahun_Anggaran_2024.pdf,,,,,2025-10-01 08:09:06,2025-10-01T15:09:06.922965
575,"Pedoman Pelaksanaan Manajemen Pengetahuan Sistem
Pemerintahan Berbasis Elektronik Kabupaten Gresik",10,2025,Kabupaten Gresik,Kabupaten,,,,Sistem Pemerintahan Berbasis Elektronik (SPBE),bpk,https://peraturan.bpk.go.id/Details/317301/perda-kab-gresik-no-10-tahun-2025,https://peraturan.bpk.go.id/Download/378641/Perbup%20Gresik%20Nomor%2010%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Gresik\Pedoman_Pelaksanaan_Manajemen_Pengetahuan_Sistem_Pemerintahan_Berbasis_Elektronik_Kabupaten_Gresik.pdf,,,,,2025-10-01 08:09:06,2025-10-01T15:09:06.952268
576,Rencana Pembangunan Jangka Menengah Daerah Tahun 2025-2029,10,2025,Kota Bekasi,Kota,,,,"Program, Rencana Pembangunan dan Rencana Kerja",bpk,https://peraturan.bpk.go.id/Details/326371/perda-kota-bekasi-no-10-tahun-2025,https://peraturan.bpk.go.id/Download/388174/Perda%20Kota%20Bekasi%20No.%2010%20Tahun%202025.pdf,docs\bpk\2025\Kota_Bekasi\Rencana_Pembangunan_Jangka_Menengah_Daerah_Tahun_2025_2029.pdf,,,,,2025-10-01 08:09:06,2025-10-01T15:09:06.978383
577,"Kemudahan, Pelindungan dan Pemberdayaan Koperasi dan Usaha Mikro",10,2025,Kota Madiun,Kota,,,,"Koperasi, UMKM",bpk,https://peraturan.bpk.go.id/Details/328548/perda-kota-madiun-no-10-tahun-2025,https://peraturan.bpk.go.id/Download/390407/10%202025.pdf,docs\bpk\2025\Kota_Madiun\Kemudahan_Pelindungan_dan_Pemberdayaan_Koperasi_dan_Usaha_Mikro.pdf,,,,,2025-10-01 08:09:07,2025-10-01T15:09:07.072084
578,"PERUBAHAN KEEMPAT ATAS PERATURAN BUPATI BANYUWANGI
NOMOR 31 TAHUN 2021 TENTANG TATA CARA PENGANGGARAN,
PELAKSANAAN DAN PENATAUSAHAAN, PERTANGGUNGJAWABAN DAN
PELAPORAN SERTA MONITORING DAN EVALUASI HIBAH, BANTUAN SOSIAL,
BELANJA TIDAK TERDUGA, BANTUAN KEUANGAN DAN BAGI HASIL
PEMERINTAH KABUPATEN BANYUWANGI",9,2025,Kabupaten Banyuwangi,Kabupaten,,,,"Bantuan, Sumbangan, Bencana / Kebencanaan, dan Penanggulangan Bencana",bpk,https://peraturan.bpk.go.id/Details/319519/perda-kab-banyuwangi-no-9-tahun-2025,https://peraturan.bpk.go.id/Download/381085/PERBUP_NO_9_TAHUN_2025_Perubahan_4_Hibah_31_2021.pdf,docs\bpk\2025\Kabupaten_Banyuwangi\PERUBAHAN_KEEMPAT_ATAS_PERATURAN_BUPATI_BANYUWANGI_NOMOR_31_TAHUN_2021_TENTANG_TATA_CARA_PENGANGGAR.pdf,,,,,2025-10-01 08:09:07,2025-10-01T15:09:07.133423
579,"Perubahan atas Peraturan Daerah Kota Bekasi 
Nomor 1 Tahun 2024 Tentang Pajak Daerah dan Retribusi Daerah",9,2025,Kota Bekasi,Kota,,,,Pajak dan Retribusi Daerah,bpk,https://peraturan.bpk.go.id/Details/321916/perda-kota-bekasi-no-9-tahun-2025,https://peraturan.bpk.go.id/Download/383677/Perda%20Kota%20Bekasi%20No.%209%20Tahun%202025.pdf,docs\bpk\2025\Kota_Bekasi\Perubahan_atas_Peraturan_Daerah_Kota_Bekasi_Nomor_1_Tahun_2024_Tentang_Pajak_Daerah_dan_Retribusi.pdf,,,,,2025-10-01 08:09:07,2025-10-01T15:09:07.154482
580,Penyelenggaraan Perizinan Berusaha,9,2025,Kabupaten Karawang,Kabupaten,,,,"Perizinan, Pelayanan Publik",bpk,https://peraturan.bpk.go.id/Details/328324/perda-kab-karawang-no-9-tahun-2025,https://peraturan.bpk.go.id/Download/390176/Perda%20Karawang%20No.%209%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Karawang\Penyelenggaraan_Perizinan_Berusaha.pdf,,,,,2025-10-01 08:09:07,2025-10-01T15:09:07.177746
