id,title,number,year,region_name,region_type,region_code,category,subject,status,source,detail_url,pdf_url,pdf_path,description,enacted_date,published_date,metadata,scraped_at,updated_at
561,Pola Dasar Pembangunan Daerah Kabupaten Daerah Tingkat II Kebumen,4,1988,Kabupaten Kebumen,Kabupaten,,,,"Program, Rencana Pembangunan dan Rencana Kerja",bpk,https://peraturan.bpk.go.id/Details/305351/perda-kab-kebumen-no-4-tahun-tahun-1988,https://peraturan.bpk.go.id/Download/365478/Perda%20Kab%20Kebumen%20Tahun%201988%20No%204_ocr.pdf,docs\bpk\1988\Kabupaten_Kebumen\Pola_Dasar_Pembangunan_Daerah_Kabupaten_Daerah_Tingkat_II_Kebumen.pdf,,,,,2025-10-01 08:09:09,2025-10-01T15:09:09.241008
562,Standar Harga Satuan Pemerintah Kabupaten Bandung Tahun Anggaran 2026,55,2025,Kabupaten Bandung,Kabupaten,,,,Standar / Pedoman,bpk,https://peraturan.bpk.go.id/Details/325184/perda-kab-bandung-no-55-tahun-2025,https://peraturan.bpk.go.id/Download/386942/Perbup%20Bandung%20Nomor%2055%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Bandung\Standar_Harga_Satuan_Pemerintah_Kabupaten_Bandung_Tahun_Anggaran_2026.pdf,,,,,2025-10-01 08:09:09,2025-10-01T15:09:09.306406
563,Perubahan Kedua atas Peraturan Daerah Nomor 8 Tahun 2016 tentang Pembentukan dan Susunan Perangkat Daerah Kota Bandung,33,2025,Kota Bandung,Kota,,,,"Kepegawaian, Aparatur Negara, Pembentukan, Perubahan, dan Pembubaran Komisi / Komite / Badan / Dewan / Staf Khusus / Tim / Panitia",bpk,https://peraturan.bpk.go.id/Details/325137/perda-kota-bandung-no-33-tahun-2025,https://peraturan.bpk.go.id/Download/386898/Perda%20Kota%20Bandung%20No.%203%20Tahun%202025.pdf,docs\bpk\2025\Kota_Bandung\Perubahan_Kedua_atas_Peraturan_Daerah_Nomor_8_Tahun_2016_tentang_Pembentukan_dan_Susunan_Perangkat_D.pdf,,,,,2025-10-01 08:09:09,2025-10-01T15:09:09.336137
564,"Penjabaran Perubahan
Anggaran Pendapatan dan Belanja Daerah                  
Tahun Anggaran 2025",32,2025,Kabupaten Kulon Progo,Kabupaten,,,,APBD,bpk,https://peraturan.bpk.go.id/Details/327810/perda-kab-kulon-progo-no-32-tahun-2025,https://peraturan.bpk.go.id/Download/389565/Perbup%20Kulonprogo%20Nomor%2032%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Kulon_Progo\Penjabaran_Perubahan_Anggaran_Pendapatan_dan_Belanja_Daerah_Tahun_Anggaran_2025.pdf,,,,,2025-10-01 08:09:09,2025-10-01T15:09:09.362048
565,"Rencana Kontinjensi Bencana Alam Gempa Bumi
di Kabupaten Cianjur",29,2025,Kabupaten Cianjur,Kabupaten,,,,"Bantuan, Sumbangan, Bencana / Kebencanaan, dan Penanggulangan Bencana",bpk,https://peraturan.bpk.go.id/Details/322204/perda-kab-cianjur-no-29-tahun-2025,https://peraturan.bpk.go.id/Download/383984/Perbup%20Cianjur%20Nomor%2029%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Cianjur\Rencana_Kontinjensi_Bencana_Alam_Gempa_Bumi_di_Kabupaten_Cianjur.pdf,,,,,2025-10-01 08:09:09,2025-10-01T15:09:09.391487
566,Rencana Kerja Pemerintah Daerah Tahun 2026,24,2025,Provinsi Daerah Istimewa Yogyakarta,Provinsi,,,,"Program, Rencana Pembangunan dan Rencana Kerja",bpk,https://peraturan.bpk.go.id/Details/327764/perda-prov-diy-no-24-tahun-2025,https://peraturan.bpk.go.id/Download/389522/Pergub%20DIY%20Nomor%2024%20Tahun%202025.pdf,docs\bpk\2025\Provinsi_Daerah_Istimewa_Yogyakarta\Rencana_Kerja_Pemerintah_Daerah_Tahun_2026.pdf,,,,,2025-10-01 08:09:09,2025-10-01T15:09:09.419324
567,"TATA CARA PEMBAGIAN REMUNERASI
PADA BADAN LAYANAN UMUM DAERAH
RUMAH SAKIT JIWA PROVINSI KALIMANTAN BARAT",22,2025,Provinsi Kalimantan Barat,Provinsi,,,,Badan Layanan Umum,bpk,https://peraturan.bpk.go.id/Details/324752/perda-prov-kalimantan-barat-no-22-tahun-2025,https://peraturan.bpk.go.id/Download/386524/2025pergub022.pdf,docs\bpk\2025\Provinsi_Kalimantan_Barat\TATA_CARA_PEMBAGIAN_REMUNERASI_PADA_BADAN_LAYANAN_UMUM_DAERAH_RUMAH_SAKIT_JIWA_PROVINSI_KALIMANTAN.pdf,,,,,2025-10-01 08:09:09,2025-10-01T15:09:09.446821
568,Barang Milik Daerah Berupa Rumah Dinas.,16,2025,Kabupaten Hulu Sungai Utara,Kabupaten,,,,Pengelolaan Barang Milik Negara / Daerah,bpk,https://peraturan.bpk.go.id/Details/323798/perda-kab-hulu-sungai-utara-no-16-tahun-2025,https://peraturan.bpk.go.id/Download/385632/Perbup%20kab%20HSU%20no%2016%20thn%202025.pdf,docs\bpk\2025\Kabupaten_Hulu_Sungai_Utara\Barang_Milik_Daerah_Berupa_Rumah_Dinas.pdf,,,,,2025-10-01 08:09:09,2025-10-01T15:09:09.475411
569,"TEKNIS PEMBERIAN TUNJANGAN HARi RAYA DAN GAJI KETIGA BELAS
YANG BERSUMBER DARI ANGGARAN PENDAPATAN DAN BELANJA DAERAH
TAHUN 2025",14,2025,Kabupaten Pasuruan,Kabupaten,,,,"Honorarium, Gaji, Penghasilan, Uang Kehormatan, Tunjangan, Penghargaan, Hak Lainnya",bpk,https://peraturan.bpk.go.id/Details/316323/perda-kab-pasuruan-no-14-tahun-2025,https://peraturan.bpk.go.id/Download/377585/uud_202520250324120641.pdf,docs\bpk\2025\Kabupaten_Pasuruan\TEKNIS_PEMBERIAN_TUNJANGAN_HARi_RAYA_DAN_GAJI_KETIGA_BELAS_YANG_BERSUMBER_DARI_ANGGARAN_PENDAPATAN.pdf,,,,,2025-10-01 08:09:09,2025-10-01T15:09:09.502234
570,"PERUBAHAN KETIGA ATAS PERATURAN GUBERNUR
NOMOR 143 TAHUN 2021 TENTANG PEMBENTUKAN, SUSUNAN
ORGANISASI, TUGAS DAN FUNGSI, SERTA TATA KERJA SATUAN
PENDIDIKAN MENENGAH PROVINSI KALIMANTAN BARAT",14,2025,Provinsi Kalimantan Barat,Provinsi,,,,"Pembentukan, Perubahan, dan Pembubaran Komisi / Komite / Badan / Dewan / Staf Khusus / Tim / Panitia, Struktur Organisasi",bpk,https://peraturan.bpk.go.id/Details/324746/perda-prov-kalimantan-barat-no-14-tahun-2025,https://peraturan.bpk.go.id/Download/386519/2025pergub014.pdf,docs\bpk\2025\Provinsi_Kalimantan_Barat\PERUBAHAN_KETIGA_ATAS_PERATURAN_GUBERNUR_NOMOR_143_TAHUN_2021_TENTANG_PEMBENTUKAN_SUSUNAN_ORGANIS.pdf,,,,,2025-10-01 08:09:09,2025-10-01T15:09:09.531414
571,Penyelenggaraan Perlindungan Konsumen,3,2025,Provinsi Jawa Barat,Provinsi,,,,Perlindungan Konsumen,bpk,https://peraturan.bpk.go.id/Details/323365/perda-prov-jawa-barat-no-3-tahun-2025,https://peraturan.bpk.go.id/Download/385194/Perda%20Jabar%20No.%203%20Tahun%202025.pdf,docs\bpk\2025\Provinsi_Jawa_Barat\Penyelenggaraan_Perlindungan_Konsumen.pdf,,,,,2025-10-01 08:09:11,2025-10-01T15:09:11.583890
572,"Kemudahan, Pelindungan, dan Pemberdayaan Koperasi dan Usaha Mikro",3,2025,Kota Ambon,Kota,,,,"Koperasi, UMKM",bpk,https://peraturan.bpk.go.id/Details/322407/perda-kota-ambon-no-3-tahun-2025,https://peraturan.bpk.go.id/Download/384205/PERDA%20NO.3%20TAHUN%202025.pdf,docs\bpk\2025\Kota_Ambon\Kemudahan_Pelindungan_dan_Pemberdayaan_Koperasi_dan_Usaha_Mikro.pdf,,,,,2025-10-01 08:09:11,2025-10-01T15:09:11.629060
573,Pemajuan Kebudayaan,3,2025,Kabupaten Cirebon,Kabupaten,,,,Pariwisata dan Kebudayaan,bpk,https://peraturan.bpk.go.id/Details/315242/perda-kab-cirebon-no-3-tahun-2025,https://peraturan.bpk.go.id/Download/376296/2025pd3209003.pdf,docs\bpk\2025\Kabupaten_Cirebon\Pemajuan_Kebudayaan.pdf,,,,,2025-10-01 08:09:11,2025-10-01T15:09:11.649317
574,Perubahan Anggaran Pendapatan dan Belanja Daerah Tahun Anggaran 2024,3,2025,Kota Semarang,Kota,,,,APBD,bpk,https://peraturan.bpk.go.id/Details/315637/perda-kota-semarang-no-3-tahun-2025,https://peraturan.bpk.go.id/Download/376757/2024perda3333__003.pdf,docs\bpk\2025\Kota_Semarang\Perubahan_Anggaran_Pendapatan_dan_Belanja_Daerah_Tahun_Anggaran_2024.pdf,,,,,2025-10-01 08:09:11,2025-10-01T15:09:11.673824
575,Perusahaan Perseroan Daerah Bank Perekonomian Rakyat Bank Karanganyar,3,2025,Kabupaten Karanganyar,Kabupaten,,,,"BUMD / Badan Usaha Milik Daerah, Perbankan, Lembaga Keuangan",bpk,https://peraturan.bpk.go.id/Details/318823/perda-kab-karanganyar-no-3-tahun-2025,https://peraturan.bpk.go.id/Download/380352/Perda%20Karanganyar-Nomor-3-Tahun-2025_OCR.pdf,docs\bpk\2025\Kabupaten_Karanganyar\Perusahaan_Perseroan_Daerah_Bank_Perekonomian_Rakyat_Bank_Karanganyar.pdf,,,,,2025-10-01 08:09:11,2025-10-01T15:09:11.701163
