id,title,number,year,region_name,region_type,region_code,category,subject,status,source,detail_url,pdf_url,pdf_path,description,enacted_date,published_date,metadata,scraped_at,updated_at
571,pengarusutamaan gender,9,2025,Kabupaten Bojonegoro,Kabupaten,,,,"Keluarga, Perlindungan Anak, Perempuan / Wanita",bpk,https://peraturan.bpk.go.id/Details/327032/perda-kab-bojonegoro-no-9-tahun-2025,https://peraturan.bpk.go.id/Download/388857/PERDA_NO_9_TH_2025_TTG_PENGARUSUTAMAAN_GENDER_0042.pdf,docs\bpk\2025\Kabupaten_Bojonegoro\pengarusutamaan_gender.pdf,,,,,2025-10-01 08:09:07,2025-10-01T15:09:07.710558
572,PEDOMAN BANTUAN PERBAIKAN RUMAH TIDAK LAYAK HUNI,9,2025,Provinsi Kalimantan Barat,Provinsi,,,,"Bantuan, Sumbangan, Bencana / Kebencanaan, dan Penanggulangan Bencana",bpk,https://peraturan.bpk.go.id/Details/324745/perda-prov-kalimantan-barat-no-9-tahun-2025,https://peraturan.bpk.go.id/Download/386518/2025pergub009.pdf,docs\bpk\2025\Provinsi_Kalimantan_Barat\PEDOMAN_BANTUAN_PERBAIKAN_RUMAH_TIDAK_LAYAK_HUNI.pdf,,,,,2025-10-01 08:09:07,2025-10-01T15:09:07.766831
573,Kawasan Tanpa Rokok,9,2025,Kota Madiun,Kota,,,,Lingkungan Hidup,bpk,https://peraturan.bpk.go.id/Details/328552/perda-kota-madiun-no-9-tahun-2025,https://peraturan.bpk.go.id/Download/390411/9%202025.pdf,docs\bpk\2025\Kota_Madiun\Kawasan_Tanpa_Rokok.pdf,,,,,2025-10-01 08:09:07,2025-10-01T15:09:07.785976
574,Rencana Pembangunan Industri Kota Ambon Tahun 2023-2043,8,2025,Kota Ambon,Kota,,,,"Program, Rencana Pembangunan dan Rencana Kerja",bpk,https://peraturan.bpk.go.id/Details/318680/perda-kota-ambon-no-8-tahun-2025,https://peraturan.bpk.go.id/Download/380195/PERWALI%20NO.%208%20TAHUN%202025.pdf,docs\bpk\2025\Kota_Ambon\Rencana_Pembangunan_Industri_Kota_Ambon_Tahun_2023_2043.pdf,,,,,2025-10-01 08:09:07,2025-10-01T15:09:07.812067
575,"PT BANK PEREKONOMIAN RAKYAT SYARIAH 
PATRIOT BEKASI (PERSERODA)",8,2025,Kota Bekasi,Kota,,,,Perekonomian,bpk,https://peraturan.bpk.go.id/Details/320851/perda-kota-bekasi-no-8-tahun-2025,https://peraturan.bpk.go.id/Download/382592/Perda%20Kota%20Bekasi%20No%208%20Tahun%202025.pdf,docs\bpk\2025\Kota_Bekasi\PT_BANK_PEREKONOMIAN_RAKYAT_SYARIAH_PATRIOT_BEKASI_PERSERODA.pdf,,,,,2025-10-01 08:09:07,2025-10-01T15:09:07.841536
576,Pedoman Penerapan Standar Pelayanan Minimal di Kabupaten Lampung Selatan,8,2025,Kabupaten Lampung Selatan,Kabupaten,,,,Administrasi dan Tata Usaha Negara,bpk,https://peraturan.bpk.go.id/Details/324246/perda-kab-lampung-selatan-no-8-tahun-2025,https://peraturan.bpk.go.id/Download/386047/perbupno8th2025_OCR.pdf,docs\bpk\2025\Kabupaten_Lampung_Selatan\Pedoman_Penerapan_Standar_Pelayanan_Minimal_di_Kabupaten_Lampung_Selatan.pdf,,,,,2025-10-01 08:09:07,2025-10-01T15:09:07.868904
577,Perubahan atas Peraturan Daerah Nomor 11 Tahun 2023 tentang Pajak dan Retribusi Daerah,8,2025,Kabupaten Wonosobo,Kabupaten,,,,Pajak dan Retribusi Daerah,bpk,https://peraturan.bpk.go.id/Details/327671/perda-kab-wonosobo-no-8-tahun-2025,https://peraturan.bpk.go.id/Download/389439/PERDA%20NO%208%20PDRD%20_signed.pdf,docs\bpk\2025\Kabupaten_Wonosobo\Perubahan_atas_Peraturan_Daerah_Nomor_11_Tahun_2023_tentang_Pajak_dan_Retribusi_Daerah.pdf,,,,,2025-10-01 08:09:07,2025-10-01T15:09:07.896886
578,Penyelenggaraan Sistem Penyediaan Air Minum,8,2025,Kota Madiun,Kota,,,,"Air, Sistem Penyediaan Air Minum",bpk,https://peraturan.bpk.go.id/Details/328645/perda-kota-madiun-no-8-tahun-2025,https://peraturan.bpk.go.id/Download/390512/8%202025.pdf,docs\bpk\2025\Kota_Madiun\Penyelenggaraan_Sistem_Penyediaan_Air_Minum.pdf,,,,,2025-10-01 08:09:07,2025-10-01T15:09:07.924974
579,Pedoman Penerapan Sistem Informasi Kearsipan Dinamis Terintegrasi,7,2025,Kabupaten Pakpak Bharat,Kabupaten,,,,Arsip,bpk,https://peraturan.bpk.go.id/Details/316892/perda-kab-pakpak-bharat-no-7-tahun-2025,https://peraturan.bpk.go.id/Download/378200/2025pb1215007.pdf,docs\bpk\2025\Kabupaten_Pakpak_Bharat\Pedoman_Penerapan_Sistem_Informasi_Kearsipan_Dinamis_Terintegrasi.pdf,,,,,2025-10-01 08:09:08,2025-10-01T15:09:08.088468
580,ALOKASI DANA DESA TAHUN ANGGARAN 2025,7,2025,Kabupaten Lumajang,Kabupaten,,,,Dana Desa,bpk,https://peraturan.bpk.go.id/Details/317566/perda-kab-lumajang-no-7-tahun-2025,https://peraturan.bpk.go.id/Download/378926/Perbup_No_7_2025_tentang_Alokasi%20Dana%20Desa%20Tahun%20Anggaran%202025%20ttd.pdf,docs\bpk\2025\Kabupaten_Lumajang\ALOKASI_DANA_DESA_TAHUN_ANGGARAN_2025.pdf,,,,,2025-10-01 08:09:08,2025-10-01T15:09:08.224788
581,Penyelenggaraan Penanggulangan Bencana Daerah,3,2025,Kota Surakarta,Kota,,,,"Bantuan, Sumbangan, Bencana / Kebencanaan, dan Penanggulangan Bencana",bpk,https://peraturan.bpk.go.id/Details/318013/perda-kota-surakarta-no-3-tahun-2025,https://peraturan.bpk.go.id/Download/379425/2025peraturandaerah-3_2025.pdf,docs\bpk\2025\Kota_Surakarta\Penyelenggaraan_Penanggulangan_Bencana_Daerah.pdf,,,,,2025-10-01 08:09:12,2025-10-01T15:09:12.390325
582,Penyelenggaraan Pemakaman,3,2025,Kabupaten Karawang,Kabupaten,,,,Otonomi Daerah dan Pemerintah Daerah,bpk,https://peraturan.bpk.go.id/Details/325998/perda-kab-karawang-no-3-tahun-2025,https://peraturan.bpk.go.id/Download/387786/Perda%20Kab%20Karawang%20No.%203%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Karawang\Penyelenggaraan_Pemakaman.pdf,,,,,2025-10-01 08:09:12,2025-10-01T15:09:12.413109
583,Desa Wisata.,3,2025,Kabupaten Barito Kuala,Kabupaten,,,,Desa,bpk,https://peraturan.bpk.go.id/Details/322559/perda-kab-barito-kuala-no-3-tahun-2025,https://peraturan.bpk.go.id/Download/384359/Perda%20Kab.Batola%20no%203%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Barito_Kuala\Desa_Wisata.pdf,,,,,2025-10-01 08:09:12,2025-10-01T15:09:12.528748
584,"Perusahaan Perseroan Daerah
Bank Perekonomian Rakyat Bank Bantul",3,2025,Kabupaten Bantul,Kabupaten,,,,"BUMD / Badan Usaha Milik Daerah, Perbankan, Lembaga Keuangan",bpk,https://peraturan.bpk.go.id/Details/327839/perda-kab-bantul-no-3-tahun-2025,https://peraturan.bpk.go.id/Download/389605/Perda%20Bantul%20Nomor%203%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Bantul\Perusahaan_Perseroan_Daerah_Bank_Perekonomian_Rakyat_Bank_Bantul.pdf,,,,,2025-10-01 08:09:12,2025-10-01T15:09:12.612968
585,Rencana Perlindungan dan Pengelolaan Lingkungan Hidup Kabupaten Pringsewu tahun 2025-2055,3,2025,Kabupaten Pringsewu,Kabupaten,,,,Lingkungan Hidup,bpk,https://peraturan.bpk.go.id/Details/328311/perda-kab-pringsewu-no-3-tahun-2025,https://peraturan.bpk.go.id/Download/390163/2025pd1810003%20OCR.pdf,docs\bpk\2025\Kabupaten_Pringsewu\Rencana_Perlindungan_dan_Pengelolaan_Lingkungan_Hidup_Kabupaten_Pringsewu_tahun_2025_2055.pdf,,,,,2025-10-01 08:09:12,2025-10-01T15:09:12.634513
586,Kerja Sama Daerah,3,2025,Kota Tasikmalaya,Kota,,,,Kerja Sama Pemerintah dengan Badan Usaha / KPBU,bpk,https://peraturan.bpk.go.id/Details/326383/perda-kota-tasikmalaya-no-3-tahun-2025,https://peraturan.bpk.go.id/Download/388183/Perda%20Kota%20Tasikmalaya%20Nomor%203%20Tahun%202025.pdf,docs\bpk\2025\Kota_Tasikmalaya\Kerja_Sama_Daerah.pdf,,,,,2025-10-01 08:09:12,2025-10-01T15:09:12.657223
