id,page_number,items_count,status,error_message,scraped_at
1,9,10,success,,2025-10-01 03:37:15
2,19,10,success,,2025-10-01 03:42:17
3,29,10,success,,2025-10-01 03:47:08
4,39,10,success,,2025-10-01 03:52:37
5,49,10,success,,2025-10-01 03:57:29
6,59,10,success,,2025-10-01 04:00:47
7,69,10,success,,2025-10-01 04:04:29
8,79,10,success,,2025-10-01 04:10:06
9,89,10,success,,2025-10-01 04:13:06
10,99,10,success,,2025-10-01 04:15:15
11,109,10,success,,2025-10-01 04:19:44
12,119,10,success,,2025-10-01 04:24:47
13,129,10,success,,2025-10-01 04:30:03
14,139,10,success,,2025-10-01 04:36:50
15,149,10,success,,2025-10-01 04:39:12
16,159,10,success,,2025-10-01 04:46:46
17,169,10,success,,2025-10-01 04:51:52
18,179,10,success,,2025-10-01 04:54:11
19,189,10,success,,2025-10-01 05:00:42
20,199,10,success,,2025-10-01 05:03:58
21,209,10,success,,2025-10-01 05:11:35
22,219,10,success,,2025-10-01 05:26:18
23,229,10,success,,2025-10-01 05:30:56
24,239,10,success,,2025-10-01 05:35:08
25,249,10,success,,2025-10-01 05:38:49
26,259,10,success,,2025-10-01 05:42:58
27,269,10,success,,2025-10-01 05:48:02
28,279,10,success,,2025-10-01 05:55:03
29,289,10,success,,2025-10-01 05:58:43
30,299,10,success,,2025-10-01 06:03:54
31,309,10,success,,2025-10-01 06:09:55
32,319,10,success,,2025-10-01 06:15:45
33,329,10,success,,2025-10-01 06:18:45
34,339,10,success,,2025-10-01 06:23:28
35,349,10,success,,2025-10-01 06:28:50
36,359,10,success,,2025-10-01 06:33:01
37,369,10,success,,2025-10-01 06:38:59
38,379,10,success,,2025-10-01 06:41:03
39,389,10,success,,2025-10-01 06:46:58
40,399,10,success,,2025-10-01 06:52:14
41,409,10,success,,2025-10-01 06:56:49
42,419,10,success,,2025-10-01 07:02:23
43,429,10,success,,2025-10-01 07:05:45
44,439,10,success,,2025-10-01 07:10:46
45,449,10,success,,2025-10-01 07:17:14
46,459,10,success,,2025-10-01 07:22:10
47,469,10,success,,2025-10-01 07:26:23
48,479,10,success,,2025-10-01 07:30:09
49,489,10,success,,2025-10-01 07:35:21
50,499,10,success,,2025-10-01 07:40:48
51,509,10,success,,2025-10-01 07:45:36
52,519,10,success,,2025-10-01 07:49:20
53,529,10,success,,2025-10-01 07:53:56
54,539,10,success,,2025-10-01 07:58:20
55,549,10,success,,2025-10-01 08:04:08
56,9,10,success,,2025-10-01 08:09:08
57,19,10,success,,2025-10-01 08:09:13
58,29,10,success,,2025-10-01 08:09:19
59,39,10,success,,2025-10-01 08:09:24
60,49,10,success,,2025-10-01 08:09:30
61,59,10,success,,2025-10-01 08:09:34
