id,title,number,year,region_name,region_type,region_code,category,subject,status,source,detail_url,pdf_url,pdf_path,description,enacted_date,published_date,metadata,scraped_at,updated_at
571,Pengelolaan dan Pelestarian Cagar Budaya,6,2025,Kota Bandung,Kota,,,,Pariwisata dan Kebudayaan,bpk,https://peraturan.bpk.go.id/Details/325273/perda-kota-bandung-no-6-tahun-2025,https://peraturan.bpk.go.id/Download/387032/Perda%20Kota%20Bandung%20No.%206%20Tahun%202025.pdf,docs\bpk\2025\Kota_Bandung\Pengelolaan_dan_Pelestarian_Cagar_Budaya.pdf,,,,,2025-10-01 08:09:07,2025-10-01T15:09:07.239859
572,Perlindungan Lahan Pertanian Pangan Berkelanjutan,6,2025,Kabupaten Wonosobo,Kabupaten,,,,"Pangan, Pertanian dan Peternakan",bpk,https://peraturan.bpk.go.id/Details/324223/perda-kab-wonosobo-no-6-tahun-2025,https://peraturan.bpk.go.id/Download/386026/PERDA%20Wnsb%206_2025.pdf,docs\bpk\2025\Kabupaten_Wonosobo\Perlindungan_Lahan_Pertanian_Pangan_Berkelanjutan.pdf,,,,,2025-10-01 08:09:07,2025-10-01T15:09:07.414008
573,Rencana Pembangunan Industri Kota Tahun 2025-2045,6,2025,Kota Semarang,Kota,,,,"Program, Rencana Pembangunan dan Rencana Kerja",bpk,https://peraturan.bpk.go.id/Details/324999/perda-kota-semarang-no-6-tahun-2025,https://peraturan.bpk.go.id/Download/386763/2025perda3333__006.pdf,docs\bpk\2025\Kota_Semarang\Rencana_Pembangunan_Industri_Kota_Tahun_2025_2045.pdf,,,,,2025-10-01 08:09:07,2025-10-01T15:09:07.506928
574,Pendidikan Anak Usia Dini,6,2025,Kota Surakarta,Kota,,,,Pendidikan,bpk,https://peraturan.bpk.go.id/Details/325124/perda-kota-surakarta-no-6-tahun-2025,https://peraturan.bpk.go.id/Download/386884/2025peraturandaerah-6.pdf,docs\bpk\2025\Kota_Surakarta\Pendidikan_Anak_Usia_Dini.pdf,,,,,2025-10-01 08:09:07,2025-10-01T15:09:07.531039
575,Penataan dan Pengelolaan Parkir,6,2025,Kabupaten Kudus,Kabupaten,,,,"Agraria, Pertanahan, Tata Ruang, Lalu Lintas, Jalan",bpk,https://peraturan.bpk.go.id/Details/325785/perda-kab-kudus-no-6-tahun-2025,https://peraturan.bpk.go.id/Download/387533/2025pd3319006_sign.pdf,docs\bpk\2025\Kabupaten_Kudus\Penataan_dan_Pengelolaan_Parkir.pdf,,,,,2025-10-01 08:09:07,2025-10-01T15:09:07.553750
576,Perubahan Anggaran Pendapatan dan Belanja Daerah Tahun Anggaran 2025,6,2025,Kabupaten Kebumen,Kabupaten,,,,APBD,bpk,https://peraturan.bpk.go.id/Details/327754/perda-kab-kebumen-no-6-tahun-2025,https://peraturan.bpk.go.id/Download/389513/2025perda33056.pdf,docs\bpk\2025\Kabupaten_Kebumen\Perubahan_Anggaran_Pendapatan_dan_Belanja_Daerah_Tahun_Anggaran_2025.pdf,,,,,2025-10-01 08:09:07,2025-10-01T15:09:07.575950
577,Perlindungan dan Pemberdayaan Petani,6,2025,Kabupaten Bojonegoro,Kabupaten,,,,"Pangan, Pertanian dan Peternakan",bpk,https://peraturan.bpk.go.id/Details/327045/perda-kab-bojonegoro-no-6-tahun-2025,https://peraturan.bpk.go.id/Download/388869/PERDA_NO_6_TAHUN_2025_TTG_PERLINDUNGAN_DAN_PEMBERD.pdf,docs\bpk\2025\Kabupaten_Bojonegoro\Perlindungan_dan_Pemberdayaan_Petani.pdf,,,,,2025-10-01 08:09:07,2025-10-01T15:09:07.598462
578,Pertanggungjawaban Pelaksanaan Anggaran Pendapatan dan Belanja Daerah Tahun Anggaran 2024,6,2025,Provinsi Jawa Tengah,Provinsi,,,,APBD,bpk,https://peraturan.bpk.go.id/Details/326312/perda-prov-jawa-tengah-no-6-tahun-2025,https://peraturan.bpk.go.id/Download/388118/Perda%20Jateng%20No%206%20Th%202025_auten.pdf,docs\bpk\2025\Provinsi_Jawa_Tengah\Pertanggungjawaban_Pelaksanaan_Anggaran_Pendapatan_dan_Belanja_Daerah_Tahun_Anggaran_2024.pdf,,,,,2025-10-01 08:09:07,2025-10-01T15:09:07.619699
579,Penguatan Nilai-Nilai Pancasila dan Pendidikan Wawasan Kebangsaan,6,2025,Kota Madiun,Kota,,,,"Pendidikan, Ketatanegaraan, Kenegaraan, Kebijakan Pemerintah",bpk,https://peraturan.bpk.go.id/Details/328653/perda-kota-madiun-no-6-tahun-2025,https://peraturan.bpk.go.id/Download/390520/6%202025.pdf,docs\bpk\2025\Kota_Madiun\Penguatan_Nilai_Nilai_Pancasila_dan_Pendidikan_Wawasan_Kebangsaan.pdf,,,,,2025-10-01 08:09:07,2025-10-01T15:09:07.643252
580,"PERUBAHAN KELIMA ATAS PERATURAN DAERAH
KABUPATEN KAPUAS HULU NOMOR 7 TAHUN 2016
TENTANG PEMBENTUKAN DAN SUSUNAN PERANGKAT DAERAH",6,2025,Kabupaten Kapuas Hulu,Kabupaten,,,,"Pembentukan, Perubahan, dan Pembubaran Komisi / Komite / Badan / Dewan / Staf Khusus / Tim / Panitia",bpk,https://peraturan.bpk.go.id/Details/325093/perda-kab-kapuas-hulu-no-6-tahun-2025,https://peraturan.bpk.go.id/Download/386852/2025perda006%20(1).pdf,docs\bpk\2025\Kabupaten_Kapuas_Hulu\PERUBAHAN_KELIMA_ATAS_PERATURAN_DAERAH_KABUPATEN_KAPUAS_HULU_NOMOR_7_TAHUN_2016_TENTANG_PEMBENTUKA.pdf,,,,,2025-10-01 08:09:07,2025-10-01T15:09:07.663955
581,PENYENGGELARAN BANTUAN HUKUM,3,2025,Kabupaten Kapuas Hulu,Kabupaten,,,,"Hukum Acara dan Peradilan, Bantuan, Sumbangan, Bencana / Kebencanaan, dan Penanggulangan Bencana",bpk,https://peraturan.bpk.go.id/Details/325097/perda-kab-kapuas-hulu-no-3-tahun-2025,https://peraturan.bpk.go.id/Download/386855/2025perda003.pdf,docs\bpk\2025\Kabupaten_Kapuas_Hulu\PENYENGGELARAN_BANTUAN_HUKUM.pdf,,,,,2025-10-01 08:09:12,2025-10-01T15:09:12.792469
582,Penyelenggaraan Pelayanan Publik,2,2025,Kota Bekasi,Kota,,,,"Perizinan, Pelayanan Publik",bpk,https://peraturan.bpk.go.id/Details/316530/perda-kota-bekasi-no-2-tahun-2025,https://peraturan.bpk.go.id/Download/377796/Peraturan%20Daerah%20Kota%20Bekasi%20Nomor%202%20Tahun%202025.pdf,docs\bpk\2025\Kota_Bekasi\Penyelenggaraan_Pelayanan_Publik.pdf,,,,,2025-10-01 08:09:12,2025-10-01T15:09:12.847495
583,Rencana Pembangunan Jangka Panjang Daerah Tahun 2025-2045,2,2025,Kabupaten Mamasa,Kabupaten,,,,"Program, Rencana Pembangunan dan Rencana Kerja",bpk,https://peraturan.bpk.go.id/Details/320930/perda-kab-mamasa-no-2-tahun-2025,https://peraturan.bpk.go.id/Download/382670/Perda%20Mamasa%20Nomor%202%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Mamasa\Rencana_Pembangunan_Jangka_Panjang_Daerah_Tahun_2025_2045.pdf,,,,,2025-10-01 08:09:12,2025-10-01T15:09:12.867186
584,Penambahan Penyertaan Modal Berupa Barang Milik Daerah Kepada Perusahaan Perseroan Daerah Air Minum Intan Banjar Perseroda.,2,2025,Kabupaten Banjar,Kabupaten,,,,"Pengelolaan Barang Milik Negara / Daerah, Air, Sistem Penyediaan Air Minum",bpk,https://peraturan.bpk.go.id/Details/316435/perda-kab-banjar-no-2-tahun-2025,https://peraturan.bpk.go.id/Download/377697/Perda%20Kab.%20Banjar%20Thn%202025%20No%202%20.pdf,docs\bpk\2025\Kabupaten_Banjar\Penambahan_Penyertaan_Modal_Berupa_Barang_Milik_Daerah_Kepada_Perusahaan_Perseroan_Daerah_Air_Minum.pdf,,,,,2025-10-01 08:09:12,2025-10-01T15:09:12.892309
585,Perubahan Bentuk Badan Hukum Perusahaan Umum Daerah Bank Perkreditan Rakyat Bank Perkreditan Rakyat Bank Pasar Kota Semarang menjadi Perusahaan Perseroan Daerah Bank Perekonomian Rakyat Bank Kota Semarang,2,2025,Kota Semarang,Kota,,,,"Perbankan, Lembaga Keuangan, Perlindungan Usaha, Perusahaan, Badan Usaha, Perdagangan",bpk,https://peraturan.bpk.go.id/Details/320384/perda-kota-semarang-no-2-tahun-2025,https://peraturan.bpk.go.id/Download/382041/2025perda3333__002.pdf,docs\bpk\2025\Kota_Semarang\Perubahan_Bentuk_Badan_Hukum_Perusahaan_Umum_Daerah_Bank_Perkreditan_Rakyat_Bank_Perkreditan_Rakyat.pdf,,,,,2025-10-01 08:09:12,2025-10-01T15:09:12.911452
