id,page_number,items_count,status,error_message,scraped_at
1,7,10,success,,2025-10-01 03:38:08
2,17,10,success,,2025-10-01 03:41:48
3,27,10,success,,2025-10-01 03:45:51
4,37,10,success,,2025-10-01 03:51:28
5,47,10,success,,2025-10-01 03:55:36
6,57,10,success,,2025-10-01 04:00:21
7,67,10,success,,2025-10-01 04:03:47
8,77,10,success,,2025-10-01 04:07:10
9,87,10,success,,2025-10-01 04:10:37
10,97,10,success,,2025-10-01 04:16:02
11,107,10,success,,2025-10-01 04:20:25
12,117,10,success,,2025-10-01 04:25:32
13,127,10,success,,2025-10-01 04:28:56
14,137,10,success,,2025-10-01 04:36:04
15,147,10,success,,2025-10-01 04:41:11
16,157,10,success,,2025-10-01 04:44:59
17,167,10,success,,2025-10-01 04:48:27
18,177,10,success,,2025-10-01 04:52:42
19,187,10,success,,2025-10-01 04:57:23
20,197,10,success,,2025-10-01 05:03:19
21,207,10,success,,2025-10-01 05:09:19
22,217,10,success,,2025-10-01 05:16:46
23,227,10,success,,2025-10-01 05:29:21
24,237,10,success,,2025-10-01 05:34:37
25,247,10,success,,2025-10-01 05:41:01
26,257,10,success,,2025-10-01 05:45:09
27,267,10,success,,2025-10-01 05:48:29
28,277,10,success,,2025-10-01 05:53:00
29,287,10,success,,2025-10-01 05:59:16
30,297,10,success,,2025-10-01 06:01:51
31,307,10,success,,2025-10-01 06:07:36
32,317,10,success,,2025-10-01 06:13:29
33,327,10,success,,2025-10-01 06:17:56
34,337,10,success,,2025-10-01 06:23:02
35,347,10,success,,2025-10-01 06:25:35
36,357,10,success,,2025-10-01 06:30:49
37,367,10,success,,2025-10-01 06:37:56
38,377,10,success,,2025-10-01 06:42:01
39,387,10,success,,2025-10-01 06:46:08
40,397,10,success,,2025-10-01 06:51:02
41,407,10,success,,2025-10-01 06:56:27
42,417,10,success,,2025-10-01 06:59:39
43,427,10,success,,2025-10-01 07:06:40
44,437,10,success,,2025-10-01 07:09:51
45,447,10,success,,2025-10-01 07:15:36
46,457,10,success,,2025-10-01 07:19:52
47,467,10,success,,2025-10-01 07:25:48
48,477,10,success,,2025-10-01 07:29:41
49,487,10,success,,2025-10-01 07:34:59
50,497,10,success,,2025-10-01 07:37:57
51,507,10,success,,2025-10-01 07:44:17
52,517,10,success,,2025-10-01 07:48:14
53,527,10,success,,2025-10-01 07:52:57
54,537,10,success,,2025-10-01 07:58:44
55,547,10,success,,2025-10-01 08:01:34
56,557,10,success,,2025-10-01 08:07:45
57,7,10,success,,2025-10-01 08:09:11
58,17,10,success,,2025-10-01 08:09:16
59,27,10,success,,2025-10-01 08:09:20
60,37,10,success,,2025-10-01 08:09:23
61,47,10,success,,2025-10-01 08:09:28
62,57,10,success,,2025-10-01 08:09:33
63,67,10,success,,2025-10-01 08:09:38
64,77,10,success,,2025-10-01 08:09:41
65,87,10,success,,2025-10-01 08:09:47
66,97,10,success,,2025-10-01 08:09:51
67,107,10,success,,2025-10-01 08:09:57
68,117,10,success,,2025-10-01 08:10:00
69,127,10,success,,2025-10-01 08:10:05
70,137,10,success,,2025-10-01 08:10:11
71,147,10,success,,2025-10-01 08:10:15
72,157,10,success,,2025-10-01 08:10:19
73,167,10,success,,2025-10-01 08:10:24
74,177,10,success,,2025-10-01 08:10:29
75,187,10,success,,2025-10-01 08:10:31
76,197,10,success,,2025-10-01 08:10:39
77,207,10,success,,2025-10-01 08:10:41
78,217,10,success,,2025-10-01 08:10:47
79,227,10,success,,2025-10-01 08:11:10
80,237,10,success,,2025-10-01 08:11:16
81,247,10,success,,2025-10-01 08:11:19
82,257,10,success,,2025-10-01 08:11:33
83,267,10,success,,2025-10-01 08:11:36
84,277,10,success,,2025-10-01 08:11:40
85,287,10,success,,2025-10-01 08:11:57
86,297,10,success,,2025-10-01 08:12:00
87,307,10,success,,2025-10-01 08:12:05
88,317,10,success,,2025-10-01 08:12:09
89,327,10,success,,2025-10-01 08:12:14
90,337,10,success,,2025-10-01 08:12:19
91,347,10,success,,2025-10-01 08:12:43
92,357,10,success,,2025-10-01 08:12:47
93,367,10,success,,2025-10-01 08:12:51
94,377,10,success,,2025-10-01 08:12:56
95,387,10,success,,2025-10-01 08:13:11
96,397,10,success,,2025-10-01 08:13:25
97,407,10,success,,2025-10-01 08:13:29
98,417,10,success,,2025-10-01 08:13:43
99,427,10,success,,2025-10-01 08:13:57
100,437,10,success,,2025-10-01 08:14:01
101,447,10,success,,2025-10-01 08:14:15
102,457,10,success,,2025-10-01 08:14:22
103,467,10,success,,2025-10-01 08:14:25
104,477,10,success,,2025-10-01 08:14:29
105,487,10,success,,2025-10-01 08:14:35
106,497,10,success,,2025-10-01 08:14:39
107,507,10,success,,2025-10-01 08:14:45
108,517,10,success,,2025-10-01 08:15:00
109,527,10,success,,2025-10-01 08:15:03
110,537,10,success,,2025-10-01 08:15:08
111,547,10,success,,2025-10-01 08:15:12
112,557,10,success,,2025-10-01 08:15:17
113,567,10,success,,2025-10-01 08:21:17
114,577,10,success,,2025-10-01 08:23:51
115,587,10,success,,2025-10-01 08:30:59
116,597,10,success,,2025-10-01 08:32:08
117,607,10,success,,2025-10-01 08:37:47
118,617,10,success,,2025-10-01 08:41:46
119,627,10,success,,2025-10-01 08:45:30
120,637,10,success,,2025-10-01 08:51:05
121,647,10,success,,2025-10-01 08:55:37
122,657,10,success,,2025-10-01 08:59:44
123,667,10,success,,2025-10-01 09:05:17
124,677,10,success,,2025-10-01 09:07:53
125,687,10,success,,2025-10-01 09:11:26
126,697,10,success,,2025-10-01 09:16:47
127,707,10,success,,2025-10-01 09:22:04
128,717,10,success,,2025-10-01 09:25:05
129,727,10,success,,2025-10-01 09:28:27
130,737,10,success,,2025-10-01 09:32:31
131,747,10,success,,2025-10-01 09:36:04
132,757,10,success,,2025-10-01 09:40:09
133,767,10,success,,2025-10-01 09:46:33
134,777,10,success,,2025-10-01 09:48:33
135,787,10,success,,2025-10-01 09:52:02
136,797,10,success,,2025-10-01 09:56:58
137,807,10,success,,2025-10-01 10:01:07
138,817,10,success,,2025-10-01 10:04:08
139,827,10,success,,2025-10-01 10:09:58
140,837,10,success,,2025-10-01 10:14:07
141,847,10,success,,2025-10-01 10:17:23
142,857,10,success,,2025-10-01 10:23:13
143,867,10,success,,2025-10-01 10:28:30
144,877,10,success,,2025-10-01 10:30:43
145,887,10,success,,2025-10-01 10:34:43
146,897,10,success,,2025-10-01 10:38:42
147,907,10,success,,2025-10-01 10:42:39
148,917,10,success,,2025-10-01 10:45:30
149,927,10,success,,2025-10-01 10:48:58
150,937,10,success,,2025-10-01 10:54:38
151,947,10,success,,2025-10-01 11:00:04
152,957,10,success,,2025-10-01 11:03:20
153,967,10,success,,2025-10-01 11:06:17
154,977,10,success,,2025-10-01 11:10:27
155,987,10,success,,2025-10-01 11:15:07
156,997,10,success,,2025-10-01 11:18:26
157,1007,10,success,,2025-10-01 11:21:32
158,1017,10,success,,2025-10-01 11:25:38
159,1027,10,success,,2025-10-01 11:29:36
160,1037,10,success,,2025-10-01 11:34:52
161,1047,10,success,,2025-10-01 11:37:52
162,1057,10,success,,2025-10-01 11:42:29
163,1067,10,success,,2025-10-01 11:47:31
164,1077,10,success,,2025-10-01 11:48:45
165,1087,10,success,,2025-10-01 11:54:35
166,1097,10,success,,2025-10-01 11:58:22
167,1107,10,success,,2025-10-01 12:02:19
168,1117,10,success,,2025-10-01 12:06:47
169,1127,10,success,,2025-10-01 12:10:19
170,1137,10,success,,2025-10-01 12:15:42
171,1147,10,success,,2025-10-01 12:19:37
172,1157,10,success,,2025-10-01 12:23:16
173,1167,10,success,,2025-10-01 12:29:09
174,1177,10,success,,2025-10-01 12:32:51
175,1187,10,success,,2025-10-01 12:36:25
176,1197,10,success,,2025-10-01 12:40:14
177,1207,10,success,,2025-10-01 12:46:08
178,1217,10,success,,2025-10-01 12:48:36
179,1227,10,success,,2025-10-01 12:52:23
180,1237,10,success,,2025-10-01 12:56:59
181,1247,10,success,,2025-10-01 13:00:26
182,1257,10,success,,2025-10-01 13:04:37
183,1267,10,success,,2025-10-01 13:07:18
184,1277,10,success,,2025-10-01 13:09:52
185,1287,10,success,,2025-10-01 13:14:22
186,1297,10,success,,2025-10-01 13:19:40
187,1307,10,success,,2025-10-01 13:23:51
188,1317,10,success,,2025-10-01 13:28:16
189,1327,10,success,,2025-10-01 13:31:49
190,1337,10,success,,2025-10-01 13:35:20
191,1347,10,success,,2025-10-01 13:38:56
192,1357,10,success,,2025-10-01 13:42:17
193,1367,10,success,,2025-10-01 13:48:14
194,1377,10,success,,2025-10-01 13:50:20
195,1387,10,success,,2025-10-01 13:56:33
196,1397,10,success,,2025-10-01 13:59:09
197,1407,10,success,,2025-10-01 14:03:39
198,1417,10,success,,2025-10-01 14:07:21
199,1427,10,success,,2025-10-01 14:12:13
200,1437,10,success,,2025-10-01 14:17:14
201,1447,10,success,,2025-10-01 14:20:24
202,1457,10,success,,2025-10-01 14:23:52
203,1467,10,success,,2025-10-01 14:28:34
204,1477,10,success,,2025-10-01 14:31:26
205,1487,10,success,,2025-10-01 14:35:10
206,1497,10,success,,2025-10-01 14:39:54
207,1507,10,success,,2025-10-01 14:43:29
208,1517,10,success,,2025-10-01 14:48:13
209,1527,10,success,,2025-10-01 14:51:08
210,1537,10,success,,2025-10-01 14:54:34
211,1547,10,success,,2025-10-01 14:57:56
212,1557,10,success,,2025-10-01 15:04:49
213,1567,10,success,,2025-10-01 15:06:12
214,1577,10,success,,2025-10-01 15:10:23
215,1587,10,success,,2025-10-01 15:13:11
216,1597,10,success,,2025-10-01 15:18:01
217,1607,10,success,,2025-10-01 15:21:37
218,1617,10,success,,2025-10-01 15:24:59
219,1627,10,success,,2025-10-01 15:29:59
220,1637,10,success,,2025-10-01 15:33:58
221,1647,10,success,,2025-10-01 15:37:04
222,1657,10,success,,2025-10-01 15:41:28
223,1667,10,success,,2025-10-01 15:46:06
224,1677,10,success,,2025-10-01 15:50:13
225,1687,10,success,,2025-10-01 15:54:02
226,1697,10,success,,2025-10-01 15:57:37
227,1707,10,success,,2025-10-01 16:00:46
228,1717,10,success,,2025-10-01 16:04:24
229,1727,10,success,,2025-10-01 16:10:16
230,1737,10,success,,2025-10-01 16:12:36
231,1747,10,success,,2025-10-01 16:15:16
232,1757,10,success,,2025-10-01 16:20:29
233,1767,10,success,,2025-10-01 16:24:24
234,1777,10,success,,2025-10-01 16:27:25
235,1787,10,success,,2025-10-01 16:30:54
236,1797,10,success,,2025-10-01 16:35:42
237,1807,10,success,,2025-10-01 16:39:09
238,1817,10,success,,2025-10-01 16:43:35
239,1827,10,success,,2025-10-01 16:46:37
240,1837,10,success,,2025-10-01 16:50:37
241,1847,10,success,,2025-10-01 16:54:23
242,1857,10,success,,2025-10-01 16:57:44
243,1867,10,success,,2025-10-01 17:01:23
244,1877,10,success,,2025-10-01 17:05:09
245,1887,10,success,,2025-10-01 17:09:02
246,1897,10,success,,2025-10-01 17:14:07
247,1907,10,success,,2025-10-01 17:17:51
