id,title,number,year,region_name,region_type,region_code,category,subject,status,source,detail_url,pdf_url,pdf_path,description,enacted_date,published_date,metadata,scraped_at,updated_at
561,Penyelenggaraan Ketertiban Umum dan Ketenteraman Masyarakat serta Pelindungan Masyarakat,5,2025,Kota Surakarta,Kota,,,,"Pertahanan dan Keamanan, Militer",bpk,https://peraturan.bpk.go.id/Details/322667/perda-kota-surakarta-no-5-tahun-2025,https://peraturan.bpk.go.id/Download/384471/2025peraturandaerah-5.pdf,docs\bpk\2025\Kota_Surakarta\Penyelenggaraan_Ketertiban_Umum_dan_Ketenteraman_Masyarakat_serta_Pelindungan_Masyarakat.pdf,,,,,2025-10-01 08:09:09,2025-10-01T15:09:09.586773
562,Pencegahan dan Penanggulangan Kebakaran dan penyelamatan,5,2025,Kabupaten Barito Kuala,Kabupaten,,,,"Bantuan, Sumbangan, Bencana / Kebencanaan, dan Penanggulangan Bencana",bpk,https://peraturan.bpk.go.id/Details/318532/perda-kab-barito-kuala-no-5-tahun-2025,https://peraturan.bpk.go.id/Download/380009/PERDA%20NO%205%20TAHUN%202025%20NEW.pdf,docs\bpk\2025\Kabupaten_Barito_Kuala\Pencegahan_dan_Penanggulangan_Kebakaran_dan_penyelamatan.pdf,,,,,2025-10-01 08:09:09,2025-10-01T15:09:09.672856
563,Pengendalian dan Pengawasan Minuman Beralkohol Tradisional,5,2025,Kota Ambon,Kota,,,,Pengawasan / Audit Internal,bpk,https://peraturan.bpk.go.id/Details/322417/perda-kota-ambon-no-5-tahun-2025,https://peraturan.bpk.go.id/Download/384215/PERDA%20NO.5%20TAHUN%202025.pdf,docs\bpk\2025\Kota_Ambon\Pengendalian_dan_Pengawasan_Minuman_Beralkohol_Tradisional.pdf,,,,,2025-10-01 08:09:09,2025-10-01T15:09:09.701018
564,Pembebasan Bea Perolehan Hak Atas Tanah dan Bangunan Bagi Masyarakat Berpenghasilan Rendah,5,2025,Kabupaten Asahan,Kabupaten,,,,"Agraria, Pertanahan, Tata Ruang, Pengelolaan Keuangan Negara / Daerah, Pajak dan Retribusi Daerah, Perpajakan",bpk,https://peraturan.bpk.go.id/Details/318942/perda-kab-asahan-no-5-tahun-2025,https://peraturan.bpk.go.id/Download/380481/Perbup%205%20Tahun_2025_Asahan.pdf,docs\bpk\2025\Kabupaten_Asahan\Pembebasan_Bea_Perolehan_Hak_Atas_Tanah_dan_Bangunan_Bagi_Masyarakat_Berpenghasilan_Rendah.pdf,,,,,2025-10-01 08:09:09,2025-10-01T15:09:09.737784
565,Perubahan Atas Peraturan Daerah No 1 Tahun 2024 ttg Pajak Daerah dan Retribusi Daerah,5,2025,Kabupaten Sumenep,Kabupaten,,,,Pajak dan Retribusi Daerah,bpk,https://peraturan.bpk.go.id/Details/323419/perda-kab-sumenep-no-5-tahun-2025,https://peraturan.bpk.go.id/Download/385249/PERDA%2005%202025%20ttg%20Perubahan%20Atas%20Peraturan%20Daerah%20No%201%20Tahun%202024%20ttg%20Pajak%20Daerah%20dan%20Retribusi%20Daerah.pdf,docs\bpk\2025\Kabupaten_Sumenep\Perubahan_Atas_Peraturan_Daerah_No_1_Tahun_2024_ttg_Pajak_Daerah_dan_Retribusi_Daerah.pdf,,,,,2025-10-01 08:09:09,2025-10-01T15:09:09.822933
566,Perubahan Kedua Atas Peraturan Daerah Nomor 12 Tahun 2016 Tentang Pembentukan dan Susunan Perangkat Daerah Kabupaten Cirebon,5,2025,Kabupaten Cirebon,Kabupaten,,,,Standar / Pedoman,bpk,https://peraturan.bpk.go.id/Details/324348/perda-kab-cirebon-no-5-tahun-2025,https://peraturan.bpk.go.id/Download/386142/Perda%20No%205%20Kab%20Cbn%20-%202025.pdf,docs\bpk\2025\Kabupaten_Cirebon\Perubahan_Kedua_Atas_Peraturan_Daerah_Nomor_12_Tahun_2016_Tentang_Pembentukan_dan_Susunan_Perangkat.pdf,,,,,2025-10-01 08:09:09,2025-10-01T15:09:09.855822
567,Penyelenggaraan Penanggulangan Bencana dan Kebakaran,5,2025,Kabupaten Wonosobo,Kabupaten,,,,"Bantuan, Sumbangan, Bencana / Kebencanaan, dan Penanggulangan Bencana",bpk,https://peraturan.bpk.go.id/Details/324215/perda-kab-wonosobo-no-5-tahun-2025,https://peraturan.bpk.go.id/Download/386019/PERDA%20Wnsb%205_2025.pdf,docs\bpk\2025\Kabupaten_Wonosobo\Penyelenggaraan_Penanggulangan_Bencana_dan_Kebakaran.pdf,,,,,2025-10-01 08:09:10,2025-10-01T15:09:10.025771
568,Pembentukan dan Susunan Perangkat Daerah,5,2025,Provinsi Jawa Tengah,Provinsi,,,,"Administrasi dan Tata Usaha Negara, Struktur Organisasi",bpk,https://peraturan.bpk.go.id/Details/324010/perda-prov-jawa-tengah-no-5-tahun-2025,https://peraturan.bpk.go.id/Download/385835/perda_5_th_2025_auten.pdf,docs\bpk\2025\Provinsi_Jawa_Tengah\Pembentukan_dan_Susunan_Perangkat_Daerah.pdf,,,,,2025-10-01 08:09:10,2025-10-01T15:09:10.159003
569,Penyelenggaraan Reklame,5,2025,Kota Bandung,Kota,,,,"Pengelolaan Keuangan Negara / Daerah, Pajak dan Retribusi Daerah, Perpajakan",bpk,https://peraturan.bpk.go.id/Details/325176/perda-kota-bandung-no-5-tahun-2025,https://peraturan.bpk.go.id/Download/386936/Perda%20Kota%20Bandung%20No.%205%20Tahun%202025.pdf,docs\bpk\2025\Kota_Bandung\Penyelenggaraan_Reklame.pdf,,,,,2025-10-01 08:09:10,2025-10-01T15:09:10.176954
570,"Fasilitasi Pencegahan dan Pemberantasan Penyalahgunaan 
dan Peredaran Gelap Narkotika dan Prekursor Narkotika",5,2025,Kota Bekasi,Kota,,,,Kesehatan,bpk,https://peraturan.bpk.go.id/Details/326370/perda-kota-bekasi-no-5-tahun-2025,https://peraturan.bpk.go.id/Download/388173/Perda%20Kota%20Bekasi%20No.%205%20Tahun%202025.pdf,docs\bpk\2025\Kota_Bekasi\Fasilitasi_Pencegahan_dan_Pemberantasan_Penyalahgunaan_dan_Peredaran_Gelap_Narkotika_dan_Prekursor.pdf,,,,,2025-10-01 08:09:10,2025-10-01T15:09:10.199577
