id,page_number,items_count,status,error_message,scraped_at
1,5,10,success,,2025-10-01 03:32:47
2,5,10,success,,2025-10-01 03:36:49
3,15,10,success,,2025-10-01 03:40:53
4,25,10,success,,2025-10-01 03:45:29
5,35,10,success,,2025-10-01 03:49:26
6,45,10,success,,2025-10-01 03:53:38
7,55,10,success,,2025-10-01 03:59:02
8,65,10,success,,2025-10-01 04:03:04
9,75,10,success,,2025-10-01 04:06:39
10,85,10,success,,2025-10-01 04:11:17
11,95,10,success,,2025-10-01 04:15:36
12,105,10,success,,2025-10-01 04:19:09
13,115,10,success,,2025-10-01 04:21:59
14,125,10,success,,2025-10-01 04:28:01
15,135,10,success,,2025-10-01 04:31:30
16,145,10,success,,2025-10-01 04:37:51
17,155,10,success,,2025-10-01 04:42:10
18,165,10,success,,2025-10-01 04:47:12
19,175,10,success,,2025-10-01 04:52:21
20,185,10,success,,2025-10-01 04:56:53
21,195,10,success,,2025-10-01 05:01:24
22,205,10,success,,2025-10-01 05:06:16
23,215,10,success,,2025-10-01 05:12:26
24,225,10,success,,2025-10-01 05:28:32
25,235,10,success,,2025-10-01 05:34:17
26,245,10,success,,2025-10-01 05:37:54
27,255,10,success,,2025-10-01 05:41:31
28,265,10,success,,2025-10-01 05:45:36
29,275,10,success,,2025-10-01 05:52:04
30,285,10,success,,2025-10-01 05:55:36
31,295,10,success,,2025-10-01 06:03:21
32,305,10,success,,2025-10-01 06:08:13
33,315,10,success,,2025-10-01 06:10:25
34,325,10,success,,2025-10-01 06:18:22
35,335,10,success,,2025-10-01 06:20:16
36,345,10,success,,2025-10-01 06:27:24
37,355,10,success,,2025-10-01 06:32:10
38,365,10,success,,2025-10-01 06:35:31
39,375,10,success,,2025-10-01 06:40:37
40,385,10,success,,2025-10-01 06:45:14
41,395,10,success,,2025-10-01 06:50:32
42,405,10,success,,2025-10-01 06:53:36
43,415,10,success,,2025-10-01 06:59:12
44,425,10,success,,2025-10-01 07:05:14
45,435,10,success,,2025-10-01 07:09:03
46,445,10,success,,2025-10-01 07:12:25
47,455,10,success,,2025-10-01 07:17:43
48,465,10,success,,2025-10-01 07:23:28
49,475,10,success,,2025-10-01 07:29:17
50,485,10,success,,2025-10-01 07:33:46
51,495,10,success,,2025-10-01 07:39:20
52,505,10,success,,2025-10-01 07:43:45
53,515,10,success,,2025-10-01 07:47:51
54,525,10,success,,2025-10-01 07:51:44
55,535,10,success,,2025-10-01 07:57:35
56,545,10,success,,2025-10-01 08:03:09
57,555,10,success,,2025-10-01 08:05:54
58,5,10,success,,2025-10-01 08:09:07
