id,page_number,items_count,status,error_message,scraped_at
1,8,10,success,,2025-10-01 03:37:42
2,18,10,success,,2025-10-01 03:43:03
3,28,10,success,,2025-10-01 03:46:17
4,38,10,success,,2025-10-01 03:50:34
5,48,10,success,,2025-10-01 03:55:13
6,58,10,success,,2025-10-01 04:01:09
7,68,10,success,,2025-10-01 04:05:34
8,78,10,success,,2025-10-01 04:08:55
9,88,10,success,,2025-10-01 04:14:03
10,98,10,success,,2025-10-01 04:17:44
11,108,10,success,,2025-10-01 04:19:27
12,118,10,success,,2025-10-01 04:23:45
13,128,10,success,,2025-10-01 04:28:38
14,138,10,success,,2025-10-01 04:32:28
15,148,10,success,,2025-10-01 04:39:36
16,158,10,success,,2025-10-01 04:44:02
17,168,10,success,,2025-10-01 04:49:22
18,178,10,success,,2025-10-01 04:55:58
19,188,10,success,,2025-10-01 04:59:24
20,198,10,success,,2025-10-01 05:04:21
21,208,10,success,,2025-10-01 05:08:51
22,218,10,success,,2025-10-01 05:19:04
23,228,10,success,,2025-10-01 05:32:30
24,238,10,success,,2025-10-01 05:35:53
25,248,10,success,,2025-10-01 05:40:16
26,258,10,success,,2025-10-01 05:44:43
27,268,10,success,,2025-10-01 05:48:55
28,278,10,success,,2025-10-01 05:54:16
29,288,10,success,,2025-10-01 06:00:07
30,298,10,success,,2025-10-01 06:02:15
31,308,10,success,,2025-10-01 06:09:10
32,318,10,success,,2025-10-01 06:12:27
33,328,10,success,,2025-10-01 06:17:24
34,338,10,success,,2025-10-01 06:21:58
35,348,10,success,,2025-10-01 06:28:14
36,358,10,success,,2025-10-01 06:31:40
37,368,10,success,,2025-10-01 06:37:21
38,378,10,success,,2025-10-01 06:43:04
39,388,10,success,,2025-10-01 06:48:20
40,398,10,success,,2025-10-01 06:49:58
41,408,10,success,,2025-10-01 06:54:10
42,418,10,success,,2025-10-01 07:00:44
43,428,10,success,,2025-10-01 07:06:11
44,438,10,success,,2025-10-01 07:11:13
45,448,10,success,,2025-10-01 07:15:10
46,458,10,success,,2025-10-01 07:21:20
47,468,10,success,,2025-10-01 07:25:22
48,478,10,success,,2025-10-01 07:31:02
49,488,10,success,,2025-10-01 07:34:09
50,498,10,success,,2025-10-01 07:38:59
51,508,10,success,,2025-10-01 07:43:24
52,518,10,success,,2025-10-01 07:51:07
53,528,10,success,,2025-10-01 07:52:32
54,538,10,success,,2025-10-01 07:59:31
55,548,10,success,,2025-10-01 08:02:42
56,8,10,success,,2025-10-01 08:09:10
57,18,10,success,,2025-10-01 08:09:15
58,28,10,success,,2025-10-01 08:09:18
59,38,10,success,,2025-10-01 08:09:25
60,48,10,success,,2025-10-01 08:09:29
61,58,10,success,,2025-10-01 08:09:33
62,68,10,success,,2025-10-01 08:09:38
63,78,10,success,,2025-10-01 08:09:43
64,88,10,success,,2025-10-01 08:09:48
65,98,10,success,,2025-10-01 08:09:52
66,108,10,success,,2025-10-01 08:09:55
67,118,10,success,,2025-10-01 08:10:00
68,128,10,success,,2025-10-01 08:10:06
69,138,10,success,,2025-10-01 08:10:12
70,148,10,success,,2025-10-01 08:10:16
71,158,10,success,,2025-10-01 08:10:20
72,168,10,success,,2025-10-01 08:10:25
73,178,10,success,,2025-10-01 08:10:30
74,188,10,success,,2025-10-01 08:10:34
75,198,10,success,,2025-10-01 08:10:38
76,208,10,success,,2025-10-01 08:10:40
77,218,10,success,,2025-10-01 08:10:47
78,228,10,success,,2025-10-01 08:11:00
79,238,10,success,,2025-10-01 08:11:15
80,248,10,success,,2025-10-01 08:11:18
81,258,10,success,,2025-10-01 08:11:33
82,268,10,success,,2025-10-01 08:11:38
83,278,10,success,,2025-10-01 08:11:51
84,288,10,success,,2025-10-01 08:11:58
85,298,10,success,,2025-10-01 08:12:02
86,308,10,success,,2025-10-01 08:12:07
87,318,10,success,,2025-10-01 08:12:10
88,328,10,success,,2025-10-01 08:12:15
89,338,10,success,,2025-10-01 08:12:31
90,348,10,success,,2025-10-01 08:12:43
91,358,10,success,,2025-10-01 08:12:47
92,368,10,success,,2025-10-01 08:12:52
93,378,10,success,,2025-10-01 08:12:57
94,388,10,success,,2025-10-01 08:12:58
95,398,10,success,,2025-10-01 08:13:25
96,408,10,success,,2025-10-01 08:13:28
97,418,10,success,,2025-10-01 08:13:53
98,428,10,success,,2025-10-01 08:13:57
99,438,10,success,,2025-10-01 08:14:02
100,448,10,success,,2025-10-01 08:14:14
101,458,10,success,,2025-10-01 08:14:20
102,468,10,success,,2025-10-01 08:14:25
103,478,10,success,,2025-10-01 08:14:29
104,488,10,success,,2025-10-01 08:14:34
105,498,10,success,,2025-10-01 08:14:40
106,508,10,success,,2025-10-01 08:14:54
107,518,10,success,,2025-10-01 08:15:00
108,528,10,success,,2025-10-01 08:15:04
109,538,10,success,,2025-10-01 08:15:10
110,548,10,success,,2025-10-01 08:15:14
111,558,10,success,,2025-10-01 08:15:44
112,568,10,success,,2025-10-01 08:20:47
113,578,10,success,,2025-10-01 08:25:46
114,588,10,success,,2025-10-01 08:29:17
115,598,10,success,,2025-10-01 08:32:38
116,608,10,success,,2025-10-01 08:36:56
117,618,10,success,,2025-10-01 08:42:40
118,628,10,success,,2025-10-01 08:47:25
119,638,10,success,,2025-10-01 08:51:25
120,648,10,success,,2025-10-01 08:54:48
121,658,10,success,,2025-10-01 09:01:25
122,668,10,success,,2025-10-01 09:04:18
123,678,10,success,,2025-10-01 09:08:36
124,688,10,success,,2025-10-01 09:13:29
125,698,10,success,,2025-10-01 09:18:19
126,708,10,success,,2025-10-01 09:20:59
127,718,10,success,,2025-10-01 09:25:28
128,728,10,success,,2025-10-01 09:29:43
129,738,10,success,,2025-10-01 09:33:37
130,748,10,success,,2025-10-01 09:37:36
131,758,10,success,,2025-10-01 09:40:57
132,768,10,success,,2025-10-01 09:45:46
133,778,10,success,,2025-10-01 09:49:39
134,788,10,success,,2025-10-01 09:52:30
135,798,10,success,,2025-10-01 09:56:07
136,808,10,success,,2025-10-01 09:59:57
137,818,10,success,,2025-10-01 10:03:48
138,828,10,success,,2025-10-01 10:08:54
139,838,10,success,,2025-10-01 10:13:39
140,848,10,success,,2025-10-01 10:19:25
141,858,10,success,,2025-10-01 10:22:25
142,868,10,success,,2025-10-01 10:29:11
143,878,10,success,,2025-10-01 10:32:37
144,888,10,success,,2025-10-01 10:34:20
145,898,10,success,,2025-10-01 10:39:02
146,908,10,success,,2025-10-01 10:42:58
147,918,10,success,,2025-10-01 10:47:25
148,928,10,success,,2025-10-01 10:52:30
149,938,10,success,,2025-10-01 10:55:33
150,948,10,success,,2025-10-01 10:58:22
151,958,10,success,,2025-10-01 11:04:05
152,968,10,success,,2025-10-01 11:07:57
153,978,10,success,,2025-10-01 11:11:30
154,988,10,success,,2025-10-01 11:12:51
155,998,10,success,,2025-10-01 11:16:45
156,1008,10,success,,2025-10-01 11:22:36
157,1018,10,success,,2025-10-01 11:25:17
158,1028,10,success,,2025-10-01 11:29:14
159,1038,10,success,,2025-10-01 11:33:46
160,1048,10,success,,2025-10-01 11:37:26
161,1058,10,success,,2025-10-01 11:42:01
162,1068,10,success,,2025-10-01 11:46:04
163,1078,10,success,,2025-10-01 11:50:00
164,1088,10,success,,2025-10-01 11:54:09
165,1098,10,success,,2025-10-01 12:00:00
166,1108,10,success,,2025-10-01 12:02:40
167,1118,10,success,,2025-10-01 12:05:57
168,1128,10,success,,2025-10-01 12:12:15
169,1138,10,success,,2025-10-01 12:16:01
170,1148,10,success,,2025-10-01 12:19:10
171,1158,10,success,,2025-10-01 12:23:47
172,1168,10,success,,2025-10-01 12:28:37
173,1178,10,success,,2025-10-01 12:31:54
174,1188,10,success,,2025-10-01 12:36:51
175,1198,10,success,,2025-10-01 12:41:39
176,1208,10,success,,2025-10-01 12:44:36
177,1218,10,success,,2025-10-01 12:50:01
178,1228,10,success,,2025-10-01 12:53:59
179,1238,10,success,,2025-10-01 12:57:42
180,1248,10,success,,2025-10-01 13:02:07
181,1258,10,success,,2025-10-01 13:04:17
182,1268,10,success,,2025-10-01 13:08:47
183,1278,10,success,,2025-10-01 13:13:18
184,1288,10,success,,2025-10-01 13:16:00
185,1298,10,success,,2025-10-01 13:19:16
186,1308,10,success,,2025-10-01 13:22:22
187,1318,10,success,,2025-10-01 13:27:46
188,1328,10,success,,2025-10-01 13:32:33
189,1338,10,success,,2025-10-01 13:36:38
190,1348,10,success,,2025-10-01 13:39:44
191,1358,10,success,,2025-10-01 13:42:39
192,1368,10,success,,2025-10-01 13:46:06
193,1378,10,success,,2025-10-01 13:52:30
194,1388,10,success,,2025-10-01 13:55:20
195,1398,10,success,,2025-10-01 13:59:56
196,1408,10,success,,2025-10-01 14:04:29
197,1418,10,success,,2025-10-01 14:08:28
198,1428,10,success,,2025-10-01 14:13:32
199,1438,10,success,,2025-10-01 14:16:24
200,1448,10,success,,2025-10-01 14:20:00
201,1458,10,success,,2025-10-01 14:25:08
202,1468,10,success,,2025-10-01 14:28:58
203,1478,10,success,,2025-10-01 14:32:57
204,1488,10,success,,2025-10-01 14:36:17
205,1498,10,success,,2025-10-01 14:39:27
206,1508,10,success,,2025-10-01 14:43:08
207,1518,10,success,,2025-10-01 14:46:38
208,1528,10,success,,2025-10-01 14:52:48
209,1538,10,success,,2025-10-01 14:57:31
210,1548,10,success,,2025-10-01 14:58:35
211,1558,10,success,,2025-10-01 15:02:58
212,1568,10,success,,2025-10-01 15:07:32
213,1578,10,success,,2025-10-01 15:09:34
214,1588,10,success,,2025-10-01 15:14:21
215,1598,10,success,,2025-10-01 15:16:57
216,1608,10,success,,2025-10-01 15:22:13
217,1618,10,success,,2025-10-01 15:25:39
218,1628,10,success,,2025-10-01 15:28:50
219,1638,10,success,,2025-10-01 15:33:31
220,1648,10,success,,2025-10-01 15:37:33
221,1658,10,success,,2025-10-01 15:39:48
222,1668,10,success,,2025-10-01 15:45:44
223,1678,10,success,,2025-10-01 15:48:52
224,1688,10,success,,2025-10-01 15:53:16
225,1698,10,success,,2025-10-01 15:56:16
226,1708,10,success,,2025-10-01 16:00:23
227,1718,10,success,,2025-10-01 16:05:28
228,1728,10,success,,2025-10-01 16:09:17
229,1738,10,success,,2025-10-01 16:12:16
230,1748,10,success,,2025-10-01 16:16:55
231,1758,10,success,,2025-10-01 16:20:48
232,1768,10,success,,2025-10-01 16:24:06
233,1778,10,success,,2025-10-01 16:27:44
234,1788,10,success,,2025-10-01 16:31:51
235,1798,10,success,,2025-10-01 16:35:01
236,1808,10,success,,2025-10-01 16:38:49
237,1818,10,success,,2025-10-01 16:44:03
238,1828,10,success,,2025-10-01 16:47:17
239,1838,10,success,,2025-10-01 16:50:18
240,1848,10,success,,2025-10-01 16:54:45
241,1858,10,success,,2025-10-01 16:58:08
242,1868,10,success,,2025-10-01 17:02:59
243,1878,10,success,,2025-10-01 17:06:01
244,1888,10,success,,2025-10-01 17:11:17
245,1898,10,success,,2025-10-01 17:14:35
246,1908,10,success,,2025-10-01 17:18:34
247,1918,10,success,,2025-10-01 17:22:32
248,1928,10,success,,2025-10-01 17:27:23
249,1938,10,success,,2025-10-01 17:31:15
250,1948,10,success,,2025-10-01 17:33:51
251,1958,10,success,,2025-10-01 17:38:17
252,1968,10,success,,2025-10-01 17:43:17
253,1978,10,success,,2025-10-01 17:47:09
254,1988,10,success,,2025-10-01 17:49:45
255,1998,10,success,,2025-10-01 17:54:50
256,2008,10,success,,2025-10-01 17:58:18
257,2018,10,success,,2025-10-01 18:01:09
258,2028,10,success,,2025-10-01 18:05:40
259,2038,10,success,,2025-10-01 18:08:08
260,2048,10,success,,2025-10-01 18:11:18
261,2058,10,success,,2025-10-01 18:15:39
262,2068,10,success,,2025-10-01 18:19:42
263,2078,10,success,,2025-10-01 18:24:05
264,2088,10,success,,2025-10-01 18:28:22
265,2098,10,success,,2025-10-01 18:30:05
266,2108,10,success,,2025-10-01 18:32:23
267,2118,10,success,,2025-10-01 18:37:11
268,2128,10,success,,2025-10-01 18:42:00
269,2138,10,success,,2025-10-01 18:45:24
270,2148,10,success,,2025-10-01 18:49:29
271,2158,10,success,,2025-10-01 18:51:05
272,2168,10,success,,2025-10-01 18:55:28
273,2178,10,success,,2025-10-01 18:57:42
274,2188,10,success,,2025-10-01 19:02:05
275,2198,10,success,,2025-10-01 19:05:33
276,2208,10,success,,2025-10-01 19:07:57
277,2218,10,success,,2025-10-01 19:11:56
278,2228,10,success,,2025-10-01 19:15:48
279,2238,10,success,,2025-10-01 19:17:26
280,2248,10,success,,2025-10-01 19:22:29
281,2258,10,success,,2025-10-01 19:26:46
282,2268,10,success,,2025-10-01 19:30:13
283,2278,10,success,,2025-10-01 19:31:56
284,2288,10,success,,2025-10-01 19:36:13
285,2298,10,success,,2025-10-01 19:39:42
286,2308,10,success,,2025-10-01 19:42:08
287,2318,10,success,,2025-10-01 19:46:14
288,2328,10,success,,2025-10-01 19:51:13
289,2338,10,success,,2025-10-01 19:54:14
290,2348,10,success,,2025-10-01 19:57:50
291,2358,10,success,,2025-10-01 19:59:33
292,2368,10,success,,2025-10-01 20:05:17
293,2378,10,success,,2025-10-01 20:08:13
294,2388,10,success,,2025-10-01 20:12:29
295,2398,10,success,,2025-10-01 20:15:57
296,2408,10,success,,2025-10-01 20:19:43
297,2418,10,success,,2025-10-01 20:22:17
298,2428,10,success,,2025-10-01 20:25:57
299,2438,10,success,,2025-10-01 20:29:57
300,2448,10,success,,2025-10-01 20:32:29
301,2458,10,success,,2025-10-01 20:36:22
302,2468,10,success,,2025-10-01 20:40:06
303,2478,10,success,,2025-10-01 20:43:46
304,2488,10,success,,2025-10-01 20:46:19
305,2498,10,success,,2025-10-01 20:49:49
306,2508,10,success,,2025-10-01 20:53:40
307,2518,10,success,,2025-10-01 20:56:59
308,2528,10,success,,2025-10-01 21:00:26
309,2538,10,success,,2025-10-01 21:03:33
310,2548,10,success,,2025-10-01 21:07:57
311,2558,10,success,,2025-10-01 21:09:25
312,2568,10,success,,2025-10-01 21:14:30
313,2578,10,success,,2025-10-01 21:18:23
314,2588,10,success,,2025-10-01 21:22:06
315,2598,10,success,,2025-10-01 21:25:11
316,2608,10,success,,2025-10-01 21:29:09
317,2618,10,success,,2025-10-01 21:32:58
318,2628,10,success,,2025-10-01 21:35:45
319,2638,10,success,,2025-10-01 21:38:14
320,2648,10,success,,2025-10-01 21:43:18
321,2658,10,success,,2025-10-01 21:46:16
322,2668,10,success,,2025-10-01 21:50:28
323,2678,10,success,,2025-10-01 21:52:56
324,2688,10,success,,2025-10-01 21:57:06
325,2698,10,success,,2025-10-01 22:01:15
326,2708,10,success,,2025-10-01 22:04:18
327,2718,10,success,,2025-10-01 22:08:04
328,2728,10,success,,2025-10-01 22:12:27
329,2738,10,success,,2025-10-01 22:15:00
330,2748,10,success,,2025-10-01 22:19:47
331,2758,10,success,,2025-10-01 22:23:35
332,2768,10,success,,2025-10-01 22:27:07
333,2778,10,success,,2025-10-01 22:31:58
334,2788,10,success,,2025-10-01 22:35:32
335,2798,10,success,,2025-10-01 22:39:21
336,2808,10,success,,2025-10-01 22:44:29
337,2818,10,success,,2025-10-01 22:47:27
338,2828,10,success,,2025-10-01 22:52:16
339,2838,10,success,,2025-10-01 22:56:22
340,2848,10,success,,2025-10-01 23:00:16
341,2858,10,success,,2025-10-01 23:03:13
342,2868,10,success,,2025-10-01 23:06:55
343,2878,10,success,,2025-10-01 23:11:40
344,2888,10,success,,2025-10-01 23:14:28
345,2898,10,success,,2025-10-01 23:19:41
346,2908,10,success,,2025-10-01 23:23:19
347,2918,10,success,,2025-10-01 23:27:46
348,2928,10,success,,2025-10-01 23:31:54
349,2938,10,success,,2025-10-01 23:37:03
350,2948,10,success,,2025-10-01 23:39:30
351,2958,10,success,,2025-10-01 23:42:54
352,2968,10,success,,2025-10-01 23:47:18
353,2978,10,success,,2025-10-01 23:52:50
354,2988,10,success,,2025-10-01 23:56:03
355,2998,10,success,,2025-10-01 23:59:38
356,3008,10,success,,2025-10-02 00:04:52
357,3018,10,success,,2025-10-02 00:07:22
358,3028,10,success,,2025-10-02 00:11:35
359,3038,10,success,,2025-10-02 00:14:54
360,3048,10,success,,2025-10-02 00:19:54
361,3058,10,success,,2025-10-02 00:22:43
362,3068,10,success,,2025-10-02 00:27:49
363,3078,10,success,,2025-10-02 00:32:55
364,3088,10,success,,2025-10-02 00:35:36
365,3098,10,success,,2025-10-02 00:40:09
366,3108,10,success,,2025-10-02 00:43:25
367,3118,10,success,,2025-10-02 00:47:45
368,3128,10,success,,2025-10-02 00:50:31
369,3138,10,success,,2025-10-02 00:55:40
370,3148,10,success,,2025-10-02 01:00:44
371,3158,10,success,,2025-10-02 01:04:23
372,3168,10,success,,2025-10-02 01:08:13
373,3178,10,success,,2025-10-02 01:12:20
374,3188,10,success,,2025-10-02 01:16:20
375,3198,10,success,,2025-10-02 01:19:13
376,3208,10,success,,2025-10-02 01:24:09
377,3218,10,success,,2025-10-02 01:26:41
378,3228,10,success,,2025-10-02 01:32:21
379,3238,10,success,,2025-10-02 01:34:25
380,3248,10,success,,2025-10-02 01:36:52
381,3258,10,success,,2025-10-02 01:41:59
382,3268,10,success,,2025-10-02 01:46:20
383,3278,10,success,,2025-10-02 01:51:15
384,3288,10,success,,2025-10-02 01:55:42
385,3298,10,success,,2025-10-02 01:58:16
386,3308,10,success,,2025-10-02 02:02:00
387,3318,10,success,,2025-10-02 02:07:32
388,3328,10,success,,2025-10-02 02:10:34
