id,page_number,items_count,status,error_message,scraped_at
1,6,10,success,,2025-10-01 03:35:50
2,16,10,success,,2025-10-01 03:41:20
3,26,10,success,,2025-10-01 03:44:23
4,36,10,success,,2025-10-01 03:51:00
5,46,10,success,,2025-10-01 03:54:39
6,56,10,success,,2025-10-01 03:59:33
7,66,10,success,,2025-10-01 04:03:25
8,76,10,success,,2025-10-01 04:07:42
9,86,10,success,,2025-10-01 04:12:44
10,96,10,success,,2025-10-01 04:14:53
11,106,10,success,,2025-10-01 04:20:49
12,116,10,success,,2025-10-01 04:26:02
13,126,10,success,,2025-10-01 04:29:17
14,136,10,success,,2025-10-01 04:34:40
15,146,10,success,,2025-10-01 04:40:14
16,156,10,success,,2025-10-01 04:44:31
17,166,10,success,,2025-10-01 04:48:56
18,176,10,success,,2025-10-01 04:53:09
19,186,10,success,,2025-10-01 04:58:24
20,196,10,success,,2025-10-01 05:01:45
21,206,10,success,,2025-10-01 05:05:31
22,216,10,success,,2025-10-01 05:13:31
23,226,10,success,,2025-10-01 05:30:16
24,236,10,success,,2025-10-01 05:33:56
25,246,10,success,,2025-10-01 05:37:23
26,256,10,success,,2025-10-01 05:42:23
27,266,10,success,,2025-10-01 05:46:36
28,276,10,success,,2025-10-01 05:52:26
29,286,10,success,,2025-10-01 05:56:41
30,296,10,success,,2025-10-01 06:02:46
31,306,10,success,,2025-10-01 06:07:13
32,316,10,success,,2025-10-01 06:12:58
33,326,10,success,,2025-10-01 06:16:08
34,336,10,success,,2025-10-01 06:21:02
35,346,10,success,,2025-10-01 06:26:54
36,356,10,success,,2025-10-01 06:33:44
37,366,10,success,,2025-10-01 06:35:59
38,376,10,success,,2025-10-01 06:41:30
39,386,10,success,,2025-10-01 06:44:45
40,396,10,success,,2025-10-01 06:49:07
41,406,10,success,,2025-10-01 06:54:53
42,416,10,success,,2025-10-01 06:58:52
43,426,10,success,,2025-10-01 07:04:19
44,436,10,success,,2025-10-01 07:08:34
45,446,10,success,,2025-10-01 07:16:04
46,456,10,success,,2025-10-01 07:20:31
47,466,10,success,,2025-10-01 07:23:02
48,476,10,success,,2025-10-01 07:27:35
49,486,10,success,,2025-10-01 07:32:23
50,496,10,success,,2025-10-01 07:37:19
51,506,10,success,,2025-10-01 07:41:56
52,516,10,success,,2025-10-01 07:47:23
53,526,10,success,,2025-10-01 07:52:04
54,536,10,success,,2025-10-01 07:56:57
55,546,10,success,,2025-10-01 08:03:34
56,556,10,success,,2025-10-01 08:08:11
57,6,10,success,,2025-10-01 08:09:10
58,16,10,success,,2025-10-01 08:09:14
59,26,10,success,,2025-10-01 08:09:19
60,36,10,success,,2025-10-01 08:09:23
61,46,10,success,,2025-10-01 08:09:28
