id,page_number,items_count,status,error_message,scraped_at
1,2,10,success,,2025-10-01 03:33:09
2,2,10,success,,2025-10-01 03:36:09
3,12,10,success,,2025-10-01 03:39:28
4,22,10,success,,2025-10-01 03:43:50
5,32,10,success,,2025-10-01 03:50:00
6,42,10,success,,2025-10-01 03:54:08
7,52,10,success,,2025-10-01 03:56:35
8,62,10,success,,2025-10-01 04:01:30
9,72,10,success,,2025-10-01 04:05:12
10,82,10,success,,2025-10-01 04:08:10
11,92,10,success,,2025-10-01 04:11:39
12,102,10,success,,2025-10-01 04:16:31
13,112,10,success,,2025-10-01 04:22:54
14,122,10,success,,2025-10-01 04:26:41
15,132,10,success,,2025-10-01 04:30:35
16,142,10,success,,2025-10-01 04:38:26
17,152,10,success,,2025-10-01 04:43:07
18,162,10,success,,2025-10-01 04:47:46
19,172,10,success,,2025-10-01 04:51:10
20,182,10,success,,2025-10-01 04:55:03
21,192,10,success,,2025-10-01 04:59:50
22,202,10,success,,2025-10-01 05:08:20
23,212,10,success,,2025-10-01 05:10:45
24,222,10,success,,2025-10-01 05:27:21
25,232,10,success,,2025-10-01 05:31:57
26,242,10,success,,2025-10-01 05:36:42
27,252,10,success,,2025-10-01 05:39:32
28,262,10,success,,2025-10-01 05:46:02
29,272,10,success,,2025-10-01 05:51:44
30,282,10,success,,2025-10-01 05:57:31
31,292,10,success,,2025-10-01 06:00:37
32,302,10,success,,2025-10-01 06:05:22
33,312,10,success,,2025-10-01 06:11:28
34,322,10,success,,2025-10-01 06:16:36
35,332,10,success,,2025-10-01 06:19:39
36,342,10,success,,2025-10-01 06:25:11
37,352,10,success,,2025-10-01 06:29:41
38,362,10,success,,2025-10-01 06:34:07
39,372,10,success,,2025-10-01 06:39:43
40,382,10,success,,2025-10-01 06:43:55
41,392,10,success,,2025-10-01 06:47:23
42,402,10,success,,2025-10-01 06:51:26
43,412,10,success,,2025-10-01 06:57:56
44,422,10,success,,2025-10-01 07:03:54
45,432,10,success,,2025-10-01 07:07:29
46,442,10,success,,2025-10-01 07:13:38
47,452,10,success,,2025-10-01 07:18:50
48,462,10,success,,2025-10-01 07:21:42
49,472,10,success,,2025-10-01 07:28:08
50,482,10,success,,2025-10-01 07:31:55
51,492,10,success,,2025-10-01 07:36:52
52,502,10,success,,2025-10-01 07:41:25
53,512,10,success,,2025-10-01 07:46:02
54,522,10,success,,2025-10-01 07:48:39
55,532,10,success,,2025-10-01 07:54:24
56,542,10,success,,2025-10-01 08:00:27
57,552,10,success,,2025-10-01 08:05:32
58,2,10,success,,2025-10-01 08:09:07
59,12,10,success,,2025-10-01 08:09:12
60,22,10,success,,2025-10-01 08:09:17
61,32,10,success,,2025-10-01 08:09:21
62,42,10,success,,2025-10-01 08:09:25
63,52,10,success,,2025-10-01 08:09:31
64,62,10,success,,2025-10-01 08:09:35
65,72,10,success,,2025-10-01 08:09:39
66,82,10,success,,2025-10-01 08:09:45
67,92,10,success,,2025-10-01 08:09:49
68,102,10,success,,2025-10-01 08:09:54
69,112,10,success,,2025-10-01 08:09:58
70,122,10,success,,2025-10-01 08:10:04
71,132,10,success,,2025-10-01 08:10:09
72,142,10,success,,2025-10-01 08:10:12
73,152,10,success,,2025-10-01 08:10:18
74,162,10,success,,2025-10-01 08:10:22
75,172,10,success,,2025-10-01 08:10:26
76,182,10,success,,2025-10-01 08:10:31
77,192,10,success,,2025-10-01 08:10:37
78,202,10,success,,2025-10-01 08:10:39
79,212,10,success,,2025-10-01 08:10:43
80,222,10,success,,2025-10-01 08:10:59
81,232,10,success,,2025-10-01 08:11:12
82,242,10,success,,2025-10-01 08:11:17
83,252,10,success,,2025-10-01 08:11:30
84,262,10,success,,2025-10-01 08:11:34
85,272,10,success,,2025-10-01 08:11:39
86,282,10,success,,2025-10-01 08:11:54
87,292,10,success,,2025-10-01 08:11:57
88,302,10,success,,2025-10-01 08:12:01
89,312,10,success,,2025-10-01 08:12:07
90,322,10,success,,2025-10-01 08:12:12
91,332,10,success,,2025-10-01 08:12:18
92,342,10,success,,2025-10-01 08:12:31
93,352,10,success,,2025-10-01 08:12:45
94,362,10,success,,2025-10-01 08:12:51
95,372,10,success,,2025-10-01 08:12:54
96,382,10,success,,2025-10-01 08:13:10
97,392,10,success,,2025-10-01 08:13:12
98,402,10,success,,2025-10-01 08:13:27
99,412,10,success,,2025-10-01 08:13:42
100,422,10,success,,2025-10-01 08:13:54
101,432,10,success,,2025-10-01 08:14:00
102,442,10,success,,2025-10-01 08:14:04
103,452,10,success,,2025-10-01 08:14:17
104,462,10,success,,2025-10-01 08:14:23
105,472,10,success,,2025-10-01 08:14:26
106,482,10,success,,2025-10-01 08:14:32
107,492,10,success,,2025-10-01 08:14:37
108,502,10,success,,2025-10-01 08:14:41
109,512,10,success,,2025-10-01 08:14:55
110,522,10,success,,2025-10-01 08:14:59
111,532,10,success,,2025-10-01 08:15:06
112,542,10,success,,2025-10-01 08:15:09
113,552,10,success,,2025-10-01 08:15:13
114,562,10,success,,2025-10-01 08:16:36
115,572,10,success,,2025-10-01 08:21:44
116,582,10,success,,2025-10-01 08:27:22
117,592,10,success,,2025-10-01 08:31:43
118,602,10,success,,2025-10-01 08:36:36
119,612,10,success,,2025-10-01 08:39:50
120,622,10,success,,2025-10-01 08:45:48
121,632,10,success,,2025-10-01 08:48:49
122,642,10,success,,2025-10-01 08:51:46
123,652,10,success,,2025-10-01 08:58:44
124,662,10,success,,2025-10-01 09:01:00
125,672,10,success,,2025-10-01 09:04:58
126,682,10,success,,2025-10-01 09:09:21
127,692,10,success,,2025-10-01 09:13:09
128,702,10,success,,2025-10-01 09:19:02
129,712,10,success,,2025-10-01 09:23:41
130,722,10,success,,2025-10-01 09:27:01
131,732,10,success,,2025-10-01 09:31:48
132,742,10,success,,2025-10-01 09:35:25
133,752,10,success,,2025-10-01 09:38:20
134,762,10,success,,2025-10-01 09:44:20
135,772,10,success,,2025-10-01 09:47:47
136,782,10,success,,2025-10-01 09:51:25
137,792,10,success,,2025-10-01 09:54:13
138,802,10,success,,2025-10-01 09:58:40
139,812,10,success,,2025-10-01 10:02:46
140,822,10,success,,2025-10-01 10:07:09
141,832,10,success,,2025-10-01 10:12:34
142,842,10,success,,2025-10-01 10:16:23
143,852,10,success,,2025-10-01 10:21:18
144,862,10,success,,2025-10-01 10:24:06
145,872,10,success,,2025-10-01 10:28:51
146,882,10,success,,2025-10-01 10:32:15
147,892,10,success,,2025-10-01 10:35:56
148,902,10,success,,2025-10-01 10:41:13
149,912,10,success,,2025-10-01 10:46:15
150,922,10,success,,2025-10-01 10:48:00
151,932,10,success,,2025-10-01 10:53:48
152,942,10,success,,2025-10-01 10:56:53
153,952,10,success,,2025-10-01 11:01:59
154,962,10,success,,2025-10-01 11:04:48
155,972,10,success,,2025-10-01 11:09:07
156,982,10,success,,2025-10-01 11:12:09
157,992,10,success,,2025-10-01 11:16:05
158,1002,10,success,,2025-10-01 11:19:34
159,1012,10,success,,2025-10-01 11:24:37
160,1022,10,success,,2025-10-01 11:26:24
161,1032,10,success,,2025-10-01 11:30:36
162,1042,10,success,,2025-10-01 11:35:41
163,1052,10,success,,2025-10-01 11:39:08
164,1062,10,success,,2025-10-01 11:44:07
165,1072,10,success,,2025-10-01 11:49:13
166,1082,10,success,,2025-10-01 11:52:41
167,1092,10,success,,2025-10-01 11:56:10
168,1102,10,success,,2025-10-01 12:00:26
