id,title,number,year,region_name,region_type,region_code,category,subject,status,source,detail_url,pdf_url,pdf_path,description,enacted_date,published_date,metadata,scraped_at,updated_at
555,Pengelolaan Sampah,4,2025,Provinsi Riau,Provinsi,,,,Lingkungan Hidup,bpk,https://peraturan.bpk.go.id/Details/325236/perda-prov-riau-no-4-tahun-2025,https://peraturan.bpk.go.id/Download/386989/Perda%20No%204%20Tahun%202025%20Salinan.pdf,docs\bpk\2025\Provinsi_Riau\Pengelolaan_Sampah.pdf,,,,,2025-10-01 08:09:08,2025-10-01T15:09:08.610678
556,Pembinaan Ideologi Pancasila dan Wawasan Kebangsaan,4,2025,Kota Bandung,Kota,,,,"Pendidikan, Ketatanegaraan, Kenegaraan",bpk,https://peraturan.bpk.go.id/Details/325154/perda-kota-bandung-no-4-tahun-2025,https://peraturan.bpk.go.id/Download/386916/Perda%20Kota%20Bandung%20No.%204%20Tahun%202025.pdf,docs\bpk\2025\Kota_Bandung\Pembinaan_Ideologi_Pancasila_dan_Wawasan_Kebangsaan.pdf,,,,,2025-10-01 08:09:08,2025-10-01T15:09:08.694127
557,Fasilitasi Pencegahan dan Pemberantasan Penyalahgunaan dan Peredaran Gelap Narkotika dan Prekursor Narkotika.,4,2025,Kabupaten Barito Kuala,Kabupaten,,,,Narkotika,bpk,https://peraturan.bpk.go.id/Details/322563/perda-kab-barito-kuala-no-4-tahun-2025,https://peraturan.bpk.go.id/Download/384364/Perda%20Kab.Batola%20no%204%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Barito_Kuala\Fasilitasi_Pencegahan_dan_Pemberantasan_Penyalahgunaan_dan_Peredaran_Gelap_Narkotika_dan_Prekursor_N.pdf,,,,,2025-10-01 08:09:08,2025-10-01T15:09:08.713045
558,"Pertanggungjawaban
Pelaksanaan Anggaran Pendapatan dan Belanja Daerah Tahun
Anggaran 2024",4,2025,Kabupaten Bantul,Kabupaten,,,,APBD,bpk,https://peraturan.bpk.go.id/Details/327836/perda-kab-bantul-no-4-tahun-2025,https://peraturan.bpk.go.id/Download/389599/Perda%20Bantul%20Nomor%204%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Bantul\Pertanggungjawaban_Pelaksanaan_Anggaran_Pendapatan_dan_Belanja_Daerah_Tahun_Anggaran_2024.pdf,,,,,2025-10-01 08:09:08,2025-10-01T15:09:08.738407
559,"Pengembangan, Penataan dan Pembinaan Pasar Rakyat, Pusat 
Perbelanjaan dan Toko Swalayan",4,2025,Kabupaten Karawang,Kabupaten,,,,"Perlindungan Usaha, Perusahaan, Badan Usaha, Perdagangan",bpk,https://peraturan.bpk.go.id/Details/326009/perda-kab-karawang-no-4-tahun-2025,https://peraturan.bpk.go.id/Download/387803/Perda%20Kab%20Karawang%20No.%204%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Karawang\Pengembangan_Penataan_dan_Pembinaan_Pasar_Rakyat_Pusat_Perbelanjaan_dan_Toko_Swalayan.pdf,,,,,2025-10-01 08:09:08,2025-10-01T15:09:08.757805
560,"Prasarana, Sarana dan Utilitas Umum",4,2025,Kabupaten Kudus,Kabupaten,,,,"Pengelolaan Barang Milik Negara / Daerah, Perumahan, Permukiman",bpk,https://peraturan.bpk.go.id/Details/325781/perda-kab-kudus-no-4-tahun-2025,https://peraturan.bpk.go.id/Download/387529/2025pd3319004_sign.pdf,docs\bpk\2025\Kabupaten_Kudus\Prasarana_Sarana_dan_Utilitas_Umum.pdf,,,,,2025-10-01 08:09:08,2025-10-01T15:09:08.782665
561,PT Bank Perekonomian Rakyat Bank Purwakarta (Perseroan),4,2025,Kabupaten Purwakarta,Kabupaten,,,,"Perbankan, Lembaga Keuangan",bpk,https://peraturan.bpk.go.id/Details/327517/perda-kab-purwakarta-no-4-tahun-2025,https://peraturan.bpk.go.id/Download/389291/Perda%20Purwakarta%20No.%204%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Purwakarta\PT_Bank_Perekonomian_Rakyat_Bank_Purwakarta_Perseroan.pdf,,,,,2025-10-01 08:09:08,2025-10-01T15:09:08.802760
562,Rencana Pembangunan Jangka Panjang Daerah Tahun 2025-2045,4,2025,Kabupaten Ogan Komering Ulu Timur,Kabupaten,,,,"Program, Rencana Pembangunan dan Rencana Kerja",bpk,https://peraturan.bpk.go.id/Details/324967/perda-kab-ogan-komering-ulu-timur-no-4-tahun,https://peraturan.bpk.go.id/Download/386733/Perda%20Kab%20OKUT%20No%204%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Ogan_Komering_Ulu_Timur\Rencana_Pembangunan_Jangka_Panjang_Daerah_Tahun_2025_2045.pdf,,,,,2025-10-01 08:09:08,2025-10-01T15:09:08.827000
563,"Perubahan Anggaran Pendapatan
dan Belanja Daerah Tahun Anggaran 2025",4,2025,Kabupaten Kulon Progo,Kabupaten,,,,APBD,bpk,https://peraturan.bpk.go.id/Details/327805/perda-kab-kulon-progo-no-4-tahun-2025,https://peraturan.bpk.go.id/Download/389560/Perda%20Kulonprogo%20Nomor%204%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Kulon_Progo\Perubahan_Anggaran_Pendapatan_dan_Belanja_Daerah_Tahun_Anggaran_2025.pdf,,,,,2025-10-01 08:09:08,2025-10-01T15:09:08.847740
564,Fasilitasi Pengembangan Pesantren,4,2025,Kota Madiun,Kota,,,,Pendidikan,bpk,https://peraturan.bpk.go.id/Details/328759/perda-kota-madiun-no-4-tahun-2025,https://peraturan.bpk.go.id/Download/390640/4%202025.pdf,docs\bpk\2025\Kota_Madiun\Fasilitasi_Pengembangan_Pesantren.pdf,,,,,2025-10-01 08:09:08,2025-10-01T15:09:08.871333
565,Perubahan Atas Peraturan Daerah Nomor 1 Tahun 2018 Tentang Perlindungan Dan Pengelolaan Lingkungan Hidup,2,2025,Kabupaten Semarang,Kabupaten,,,,Lingkungan Hidup,bpk,https://peraturan.bpk.go.id/Details/315804/perda-kab-semarang-no-2-tahun-2025,https://peraturan.bpk.go.id/Download/376955/Perda%20Kab%20Semarang%20No%202%20Tahun%202025_OCR.pdf,docs\bpk\2025\Kabupaten_Semarang\Perubahan_Atas_Peraturan_Daerah_Nomor_1_Tahun_2018_Tentang_Perlindungan_Dan_Pengelolaan_Lingkungan_H.pdf,,,,,2025-10-01 08:09:13,2025-10-01T15:09:13.105700
566,Pencegahan dan Peningkatan Kualitas Perumahan Kumuh dan Permukiman Kumuh,2,2025,Kabupaten Tegal,Kabupaten,,,,"Perumahan, Permukiman",bpk,https://peraturan.bpk.go.id/Details/317551/perda-kab-tegal-no-2-tahun-2025,https://peraturan.bpk.go.id/Download/378909/Perda%20Tegal%20Kab%202_2025.pdf,docs\bpk\2025\Kabupaten_Tegal\Pencegahan_dan_Peningkatan_Kualitas_Perumahan_Kumuh_dan_Permukiman_Kumuh.pdf,,,,,2025-10-01 08:09:13,2025-10-01T15:09:13.166393
567,Penyelenggaraan Ketenagakerjaan,2,2025,,,,,,Ketenagakerjaan,bpk,https://peraturan.bpk.go.id/Details/317934/perda-prov-nusa-tenggara-barat-no-2-tahun-202,https://peraturan.bpk.go.id/Download/379346/Perda%20Prov.%20NTB%20Nomor%202%20Tahun%202025.pdf,docs\bpk\2025\unknown_region\Penyelenggaraan_Ketenagakerjaan.pdf,,,,,2025-10-01 08:09:13,2025-10-01T15:09:13.194585
568,Penyertaan Modal Pemerintah Kota Surakarta Pada Perusahaan Umum Daerah Pergudangan dan Aneka Usaha Pedaringan Kota Surakarta,2,2025,Kota Surakarta,Kota,,,,"BUMD / Badan Usaha Milik Daerah, Penanaman Modal dan Investasi",bpk,https://peraturan.bpk.go.id/Details/317766/perda-kota-surakarta-no-2-tahun-2025,https://peraturan.bpk.go.id/Download/379170/Peraturan%20Daerah%20Kota%20Surakarta%20Nomor%202%20Tahun%202025_OCR.pdf,docs\bpk\2025\Kota_Surakarta\Penyertaan_Modal_Pemerintah_Kota_Surakarta_Pada_Perusahaan_Umum_Daerah_Pergudangan_dan_Aneka_Usaha_P.pdf,,,,,2025-10-01 08:09:13,2025-10-01T15:09:13.221690
569,Penyelenggaraan Ketentraman dan Ketertiban Umum serta Pelindungan Masyarakat,2,2025,Kabupaten Magelang,Kabupaten,,,,"Pertahanan dan Keamanan, Militer",bpk,https://peraturan.bpk.go.id/Details/318201/perda-kab-magelang-no-2-tahun-2025,https://peraturan.bpk.go.id/Download/379637/2025pd3308002.pdf,docs\bpk\2025\Kabupaten_Magelang\Penyelenggaraan_Ketentraman_dan_Ketertiban_Umum_serta_Pelindungan_Masyarakat.pdf,,,,,2025-10-01 08:09:13,2025-10-01T15:09:13.261667
570,Perubahan Atas Qanun Kabupaten Pidie Nomor 10 Tahun 2023 tentang Pajak Kabupaten dan Retribusi Kabupaten,2,2025,Kabupaten Pidie,Kabupaten,,,,Pajak dan Retribusi Daerah,bpk,https://peraturan.bpk.go.id/Details/324001/perda-kab-pidie-no-2-tahun-2025,https://peraturan.bpk.go.id/Download/385828/QANUN%20NOMOR%202%20TAHUN%202025.pdf,docs\bpk\2025\Kabupaten_Pidie\Perubahan_Atas_Qanun_Kabupaten_Pidie_Nomor_10_Tahun_2023_tentang_Pajak_Kabupaten_dan_Retribusi_Kabup.pdf,,,,,2025-10-01 08:09:13,2025-10-01T15:09:13.356676
571,Penyelenggaraan Pelestarian Budaya Daerah.,2,2025,Kabupaten Barito Kuala,Kabupaten,,,,Pariwisata dan Kebudayaan,bpk,https://peraturan.bpk.go.id/Details/322568/perda-kab-barito-kuala-no-2-tahun-2025,https://peraturan.bpk.go.id/Download/384369/Perda%20Kab.Batola%20no%202%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Barito_Kuala\Penyelenggaraan_Pelestarian_Budaya_Daerah.pdf,,,,,2025-10-01 08:09:13,2025-10-01T15:09:13.398917
572,Perlindungan dan Pemenuhan Hak Penyandang Disabilitas,2,2025,Kabupaten Tanggamus,Kabupaten,,,,Hak Asasi Manusia,bpk,https://peraturan.bpk.go.id/Details/328025/perda-kab-tanggamus-no-2-tahun-2025,https://peraturan.bpk.go.id/Download/389835/Perda%20No.%202%20Tahun%202025%20ttg%20Perlindungan%20dan%20Pemenuhan%20Hak%20Penyandang%20Disabilitas_OCR.pdf,docs\bpk\2025\Kabupaten_Tanggamus\Perlindungan_dan_Pemenuhan_Hak_Penyandang_Disabilitas.pdf,,,,,2025-10-01 08:09:13,2025-10-01T15:09:13.418898
573,Penyelenggaraan Pendidikan Karakter,2,2025,Kabupaten Bantul,Kabupaten,,,,Pendidikan,bpk,https://peraturan.bpk.go.id/Details/327843/perda-kab-bantul-no-2-tahun-2025,https://peraturan.bpk.go.id/Download/389613/Perda%20Bantul%20Nomor%202%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Bantul\Penyelenggaraan_Pendidikan_Karakter.pdf,,,,,2025-10-01 08:09:13,2025-10-01T15:09:13.443269
574,Pengembangan Ekonomi Kreatif,2,2025,Kabupaten Pringsewu,Kabupaten,,,,Perekonomian,bpk,https://peraturan.bpk.go.id/Details/328305/perda-kab-pringsewu-no-2-tahun-2025,https://peraturan.bpk.go.id/Download/390157/2025pd1810002%20OCR.pdf,docs\bpk\2025\Kabupaten_Pringsewu\Pengembangan_Ekonomi_Kreatif.pdf,,,,,2025-10-01 08:09:13,2025-10-01T15:09:13.463758
575,"Perseroan Terbatas 
Bank Perekonomian Rakyat Bank Kota Bogor",1,2025,Kota Bogor,Kota,,,,"Perbankan, Lembaga Keuangan",bpk,https://peraturan.bpk.go.id/Details/325038/perda-kota-bogor-no-1-tahun-2025,https://peraturan.bpk.go.id/Download/386839/1.%20Perda%20Nomor%201%20Tahun%202025%20tentang%20Perseroan%20terbatas%20BPR%20bank%20kota%20bogor.pdf,docs\bpk\2025\Kota_Bogor\Perseroan_Terbatas_Bank_Perekonomian_Rakyat_Bank_Kota_Bogor.pdf,,,,,2025-10-01 08:09:19,2025-10-01T15:09:19.404828
576,Rencana Pembangunan Jangka Panjang Daerah Kabupaten Siak Tahun 2025-2045,1,2025,Kabupaten Siak,Kabupaten,,,,"Program, Rencana Pembangunan dan Rencana Kerja",bpk,https://peraturan.bpk.go.id/Details/325554/perda-kab-siak-no-1-tahun-2025,https://peraturan.bpk.go.id/Download/387299/PERDA%20NOMOR%201%20TAHUN%202025%20PERDAA%20RPJPD%20KAB%20SIAK.pdf,docs\bpk\2025\Kabupaten_Siak\Rencana_Pembangunan_Jangka_Panjang_Daerah_Kabupaten_Siak_Tahun_2025_2045.pdf,,,,,2025-10-01 08:09:19,2025-10-01T15:09:19.493026
577,RENCANA TATA RUANG WILAYAH KABUPATEN LUWU TIMUR TAHUN 2025-2044,1,2025,Kabupaten Luwu Timur,Kabupaten,,,,"Agraria, Pertanahan, Tata Ruang",bpk,https://peraturan.bpk.go.id/Details/319981/perda-kab-luwu-timur-no-1-tahun-2025,https://peraturan.bpk.go.id/Download/381600/Kabupaten%20Luwu%20Timur%20-%20Perda%201%202025_Optimized.pdf,docs\bpk\2025\Kabupaten_Luwu_Timur\RENCANA_TATA_RUANG_WILAYAH_KABUPATEN_LUWU_TIMUR_TAHUN_2025_2044.pdf,,,,,2025-10-01 08:09:19,2025-10-01T15:09:19.564836
578,Rencana Tata Ruang Wilayah Tahun 2025 - 2044,1,2025,Kabupaten Sikka,Kabupaten,,,,"Agraria, Pertanahan, Tata Ruang, Program, Rencana Pembangunan dan Rencana Kerja",bpk,https://peraturan.bpk.go.id/Details/321164/perda-kab-sikka-no-1-tahun-2025,https://peraturan.bpk.go.id/Download/382914/Perda.%20Sikka%20No.%201%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Sikka\Rencana_Tata_Ruang_Wilayah_Tahun_2025_2044.pdf,,,,,2025-10-01 08:09:19,2025-10-01T15:09:19.615621
579,Rencana Pembangunan Jangka Panjang Daerah Tahun 2025 - 2045,1,2025,Kabupaten Timor Tengah Selatan,Kabupaten,,,,"Program, Rencana Pembangunan dan Rencana Kerja",bpk,https://peraturan.bpk.go.id/Details/321620/perda-kab-timor-tengah-selatan-no-1-tahun-202,https://peraturan.bpk.go.id/Download/383367/Perda.%20TTS%20No.%201%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Timor_Tengah_Selatan\Rencana_Pembangunan_Jangka_Panjang_Daerah_Tahun_2025_2045.pdf,,,,,2025-10-01 08:09:19,2025-10-01T15:09:19.655523
580,Rencana Pembangunan Jangka Panjang Daerah Tahun 2025 - 2045,1,2025,Kota Kupang,Kota,,,,"Otonomi Daerah dan Pemerintah Daerah, Program, Rencana Pembangunan dan Rencana Kerja",bpk,https://peraturan.bpk.go.id/Details/321651/perda-kota-kupang-no-1-tahun-2025,https://peraturan.bpk.go.id/Download/383404/Perda.%20Kota%20Kupang%20No.%201%20Tahun%202025.pdf,docs\bpk\2025\Kota_Kupang\Rencana_Pembangunan_Jangka_Panjang_Daerah_Tahun_2025_2045.pdf,,,,,2025-10-01 08:09:19,2025-10-01T15:09:19.704895
581,Pengalokasian Anggaran Penyelenggaraan Bantuan Hukum,1,2025,,,,,,"Pengelolaan Keuangan Negara / Daerah, Bantuan, Sumbangan, Bencana / Kebencanaan, dan Penanggulangan Bencana",bpk,https://peraturan.bpk.go.id/Details/321701/perda-prov-nusa-tenggara-timur-no-1-tahun-202,https://peraturan.bpk.go.id/Download/383489/Perda%20NTT%20No.%201%20Tahun%202025.pdf,docs\bpk\2025\unknown_region\Pengalokasian_Anggaran_Penyelenggaraan_Bantuan_Hukum.pdf,,,,,2025-10-01 08:09:19,2025-10-01T15:09:19.763741
582,Rencana Tata Ruang Wilayah Tahun 2025 - 2044,1,2025,,,,,,"Agraria, Pertanahan, Tata Ruang, Otonomi Daerah dan Pemerintah Daerah, Program, Rencana Pembangunan dan Rencana Kerja",bpk,https://peraturan.bpk.go.id/Details/321817/perda-kab-ngada-no-1-tahun-2025,https://peraturan.bpk.go.id/Download/384030/Perda.%20Ngada%20No.%201%20Tahun%202025.pdf,docs\bpk\2025\unknown_region\Rencana_Tata_Ruang_Wilayah_Tahun_2025_2044.pdf,,,,,2025-10-01 08:09:19,2025-10-01T15:09:19.804959
583,Kawasan Tanpa Rokok,1,2025,Kabupaten Ende,Kabupaten,,,,Kesehatan,bpk,https://peraturan.bpk.go.id/Details/321885/perda-kab-ende-no-1-tahun-2025,https://peraturan.bpk.go.id/Download/383671/Perda.%20Kab.%20Ende%20No.%201%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Ende\Kawasan_Tanpa_Rokok.pdf,,,,,2025-10-01 08:09:19,2025-10-01T15:09:19.844116
584,Penyelenggaraan Pelayanan Kepemudaan,1,2025,Kabupaten Flores Timur,Kabupaten,,,,"Pemuda dan Olah Raga, Program, Rencana Pembangunan dan Rencana Kerja, Perizinan, Pelayanan Publik",bpk,https://peraturan.bpk.go.id/Details/323042/perda-kab-flores-timur-no-1-tahun-2025,https://peraturan.bpk.go.id/Download/384858/Perda.%20Kab.%20Flotim.%20No.%201%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Flores_Timur\Penyelenggaraan_Pelayanan_Kepemudaan.pdf,,,,,2025-10-01 08:09:19,2025-10-01T15:09:19.899345
585,"Perubahan Ketiga Atas Peraturan Daerah Nomor 10 Tahun 2016
Tentang Pembentukan Dan Susunan Perangkat Daerah
Kabupaten Temanggung",16,2024,Kabupaten Temanggung,Kabupaten,,,,"Pembentukan, Perubahan, dan Pembubaran Komisi / Komite / Badan / Dewan / Staf Khusus / Tim / Panitia",bpk,https://peraturan.bpk.go.id/Details/315900/perda-kab-temanggung-no-16-tahun-2024,https://peraturan.bpk.go.id/Download/377052/Perda%20Temanggung%20No%2016%20Tahun%202024_OCR.pdf,docs\bpk\2024\Kabupaten_Temanggung\Perubahan_Ketiga_Atas_Peraturan_Daerah_Nomor_10_Tahun_2016_Tentang_Pembentukan_Dan_Susunan_Perangka.pdf,,,,,2025-10-01 08:09:24,2025-10-01T15:09:24.060967
586,PEDOMAN PENGAWASAN KEARSIPAN PEMERINTAH DAERA,16,2024,Kabupaten Merangin,Kabupaten,,,,"Administrasi dan Tata Usaha Negara, APBD",bpk,https://peraturan.bpk.go.id/Details/308896/perda-kab-merangin-no-16-tahun-2024,https://peraturan.bpk.go.id/Download/369362/Perbup%20No.%2016%20Tahun%202024%20tentang%20Pedoman%20pengawasan%20kearsipan%20pemda(Autosaved).pdf,docs\bpk\2024\Kabupaten_Merangin\PEDOMAN_PENGAWASAN_KEARSIPAN_PEMERINTAH_DAERA.pdf,,,,,2025-10-01 08:09:24,2025-10-01T15:09:24.116089
587,Penetapan Sisa Perhitungan Anggaran Pendapatan dan Belanja Daerah Kabupaten Daerah Tingkat II Kebumen Tahun Anggaran 1995/1996,15,2024,Kabupaten Kebumen,Kabupaten,,,,APBD,bpk,https://peraturan.bpk.go.id/Details/305495/perda-kab-kebumen-no-15-tahun-2024,https://peraturan.bpk.go.id/Download/365639/Perda%20Kab%20Kebumen%20Tahun%201996%20No%2015_ocr.pdf,docs\bpk\2024\Kabupaten_Kebumen\Penetapan_Sisa_Perhitungan_Anggaran_Pendapatan_dan_Belanja_Daerah_Kabupaten_Daerah_Tingkat_II_Kebume.pdf,,,,,2025-10-01 08:09:24,2025-10-01T15:09:24.160681
588,Penyelenggaraan Kesejahteraan Sosial,15,2024,Kabupaten Indramayu,Kabupaten,,,,"Kesejahteraan Rakyat, Kesejahteraan Sosial",bpk,https://peraturan.bpk.go.id/Details/321746/perda-kab-indramayu-no-15-tahun-2024,https://peraturan.bpk.go.id/Download/383504/PERDA%20NOMOR%2015%20TAHUN%202024.pdf,docs\bpk\2024\Kabupaten_Indramayu\Penyelenggaraan_Kesejahteraan_Sosial.pdf,,,,,2025-10-01 08:09:24,2025-10-01T15:09:24.180743
589,"Pencabutan Peraturan Daerah Nomor 15 Tahun 2020 
Tentang Adaptasi Tatanan Hidup Baru Dalam Penanganan 
Wabah Corona Virus Disease 2019 (Covid-19)",15,2024,Kota Bekasi,Kota,,,,Kesehatan,bpk,https://peraturan.bpk.go.id/Details/321921/perda-kota-bekasi-no-15-tahun-2024,https://peraturan.bpk.go.id/Download/383684/Peraturan%20Daerah%20Kota%20Bekasi%20Nomor%2015%20Tahun%202024.pdf,docs\bpk\2024\Kota_Bekasi\Pencabutan_Peraturan_Daerah_Nomor_15_Tahun_2020_Tentang_Adaptasi_Tatanan_Hidup_Baru_Dalam_Penangan.pdf,,,,,2025-10-01 08:09:24,2025-10-01T15:09:24.205851
