id,page_number,items_count,status,error_message,scraped_at
1,4,10,success,,2025-10-01 03:36:26
2,14,10,success,,2025-10-01 03:40:34
3,24,10,success,,2025-10-01 03:45:09
4,34,10,success,,2025-10-01 03:48:31
5,44,10,success,,2025-10-01 03:56:10
6,54,10,success,,2025-10-01 03:57:53
7,64,10,success,,2025-10-01 04:02:42
8,74,10,success,,2025-10-01 04:06:16
9,84,10,success,,2025-10-01 04:10:58
10,94,10,success,,2025-10-01 04:14:24
11,104,10,success,,2025-10-01 04:18:46
12,114,10,success,,2025-10-01 04:23:24
13,124,10,success,,2025-10-01 04:27:25
14,134,10,success,,2025-10-01 04:31:54
15,144,10,success,,2025-10-01 04:39:54
16,154,10,success,,2025-10-01 04:43:37
17,164,10,success,,2025-10-01 04:48:08
18,174,10,success,,2025-10-01 04:53:31
19,184,10,success,,2025-10-01 04:57:55
20,194,10,success,,2025-10-01 05:02:29
21,204,10,success,,2025-10-01 05:04:52
22,214,10,success,,2025-10-01 05:14:43
23,224,10,success,,2025-10-01 05:29:47
24,234,10,success,,2025-10-01 05:33:30
25,244,10,success,,2025-10-01 05:38:26
26,254,10,success,,2025-10-01 05:43:23
27,264,10,success,,2025-10-01 05:47:02
28,274,10,success,,2025-10-01 05:51:02
29,284,10,success,,2025-10-01 05:56:11
30,294,10,success,,2025-10-01 06:01:28
31,304,10,success,,2025-10-01 06:06:17
32,314,10,success,,2025-10-01 06:11:55
33,324,10,success,,2025-10-01 06:15:08
34,334,10,success,,2025-10-01 06:21:25
35,344,10,success,,2025-10-01 06:26:00
36,354,10,success,,2025-10-01 06:31:10
37,364,10,success,,2025-10-01 06:36:46
38,374,10,success,,2025-10-01 06:40:12
39,384,10,success,,2025-10-01 06:44:18
40,394,10,success,,2025-10-01 06:49:37
41,404,10,success,,2025-10-01 06:55:19
42,414,10,success,,2025-10-01 07:00:10
43,424,10,success,,2025-10-01 07:04:49
44,434,10,success,,2025-10-01 07:09:28
45,444,10,success,,2025-10-01 07:14:25
46,454,10,success,,2025-10-01 07:20:55
47,464,10,success,,2025-10-01 07:23:54
48,474,10,success,,2025-10-01 07:28:29
49,484,10,success,,2025-10-01 07:33:18
50,494,10,success,,2025-10-01 07:36:27
51,504,10,success,,2025-10-01 07:42:29
