id,title,number,year,region_name,region_type,region_code,category,subject,status,source,detail_url,pdf_url,pdf_path,description,enacted_date,published_date,metadata,scraped_at,updated_at
551,Perlindungan dan Pengelolaan Lingkungan Hidup,4,2025,Kota Surakarta,Kota,,,,Lingkungan Hidup,bpk,https://peraturan.bpk.go.id/Details/322664/perda-kota-surakarta-no-4-tahun-2025,https://peraturan.bpk.go.id/Download/384468/2025peraturandaerah-4.pdf,docs\bpk\2025\Kota_Surakarta\Perlindungan_dan_Pengelolaan_Lingkungan_Hidup.pdf,,,,,2025-10-01 08:09:10,2025-10-01T15:09:10.245777
552,"Perubahan Atas Peraturan Daerah Nomor 2 Tahun 2017 tentang Pemberdayaan, Pengembangan dan Perlindungan Koperasi dan Usaha Kecil",4,2025,,,,,,"Koperasi, UMKM",bpk,https://peraturan.bpk.go.id/Details/317948/perda-prov-nusa-tenggara-barat-no-4-tahun-202,https://peraturan.bpk.go.id/Download/379360/Perda%20Prov.%20NTB%20Nomor%204%20Tahun%202025.pdf,docs\bpk\2025\unknown_region\Perubahan_Atas_Peraturan_Daerah_Nomor_2_Tahun_2017_tentang_Pemberdayaan_Pengembangan_dan_Perlindung.pdf,,,,,2025-10-01 08:09:10,2025-10-01T15:09:10.335438
553,Pelindungan dan Pelestarian Sumber Air,4,2025,Kota Ambon,Kota,,,,Sumber Daya Alam,bpk,https://peraturan.bpk.go.id/Details/322412/perda-kota-ambon-no-4-tahun-2025,https://peraturan.bpk.go.id/Download/384210/PERDA%20NO.4%20TAHUN%202025.pdf,docs\bpk\2025\Kota_Ambon\Pelindungan_dan_Pelestarian_Sumber_Air.pdf,,,,,2025-10-01 08:09:10,2025-10-01T15:09:10.354809
554,Penyelenggaraan Kabupaten Layak Anak,4,2025,Kabupaten Cirebon,Kabupaten,,,,"Keluarga, Perlindungan Anak, Perempuan / Wanita",bpk,https://peraturan.bpk.go.id/Details/315247/perda-kab-cirebon-no-4-tahun-2025,https://peraturan.bpk.go.id/Download/376301/2025pd3209004.pdf,docs\bpk\2025\Kabupaten_Cirebon\Penyelenggaraan_Kabupaten_Layak_Anak.pdf,,,,,2025-10-01 08:09:10,2025-10-01T15:09:10.378161
555,Penyelenggaraan Nama Rupabumi di Wilayah Kota Surabaya,4,2025,Kota Surabaya,Kota,,,,Standar / Pedoman,bpk,https://peraturan.bpk.go.id/Details/315233/perda-kota-surabaya-no-4-tahun-2025,https://peraturan.bpk.go.id/Download/376287/Peraturan%20Walikota%20Surabaya%20Nomor%204%20Tahun%202025.pdf,docs\bpk\2025\Kota_Surabaya\Penyelenggaraan_Nama_Rupabumi_di_Wilayah_Kota_Surabaya.pdf,,,,,2025-10-01 08:09:10,2025-10-01T15:09:10.399084
556,Penyelenggaraan Pemakaman,4,2025,Kabupaten Wonosobo,Kabupaten,,,,"Perizinan, Pelayanan Publik",bpk,https://peraturan.bpk.go.id/Details/318795/perda-kab-wonosobo-no-4-tahun-2025,https://peraturan.bpk.go.id/Download/380323/PERDA%20NO.%2004.pdf,docs\bpk\2025\Kabupaten_Wonosobo\Penyelenggaraan_Pemakaman.pdf,,,,,2025-10-01 08:09:10,2025-10-01T15:09:10.423015
557,Teknis Pemberian Tunjangan Hari Raya Dan Gaji Ketiga Belas Yang Bersumber Dari Anggaran Pendapat Dan Belanja Daerah,4,2025,Kabupaten Maluku Barat Daya,Kabupaten,,,,"Honorarium, Gaji, Penghasilan, Uang Kehormatan, Tunjangan, Penghargaan, Hak Lainnya",bpk,https://peraturan.bpk.go.id/Details/317584/perda-kab-maluku-barat-daya-no-4-tahun-2025,https://peraturan.bpk.go.id/Download/378945/PERBUP%20NO.%204%20TAHUN%202025.pdf,docs\bpk\2025\Kabupaten_Maluku_Barat_Daya\Teknis_Pemberian_Tunjangan_Hari_Raya_Dan_Gaji_Ketiga_Belas_Yang_Bersumber_Dari_Anggaran_Pendapat_Dan.pdf,,,,,2025-10-01 08:09:10,2025-10-01T15:09:10.450427
558,Rencana Induk Pembangunan Kepariwisataan Kabupaten Seram Bagian Timur Tahun 2023-2025,4,2025,Kabupaten Seram Bagian Timur,Kabupaten,,,,"Pariwisata dan Kebudayaan, Program, Rencana Pembangunan dan Rencana Kerja",bpk,https://peraturan.bpk.go.id/Details/318731/perda-kab-seram-bagian-timur-no-4-tahun-2025,https://peraturan.bpk.go.id/Download/380248/PERDA%20NO.%204%20TAHUN%202025.pdf,docs\bpk\2025\Kabupaten_Seram_Bagian_Timur\Rencana_Induk_Pembangunan_Kepariwisataan_Kabupaten_Seram_Bagian_Timur_Tahun_2023_2025.pdf,,,,,2025-10-01 08:09:10,2025-10-01T15:09:10.479026
559,Pelestarian Batik Tulis Lasem,4,2025,Kabupaten Rembang,Kabupaten,,,,Pariwisata dan Kebudayaan,bpk,https://peraturan.bpk.go.id/Details/319974/perda-kab-rembang-no-4-tahun-2025,https://peraturan.bpk.go.id/Download/381593/perda%20rbg_4_th_2025.pdf,docs\bpk\2025\Kabupaten_Rembang\Pelestarian_Batik_Tulis_Lasem.pdf,,,,,2025-10-01 08:09:10,2025-10-01T15:09:10.498363
560,Penyelenggaraan Perhubungan Darat,4,2025,Kabupaten Sumenep,Kabupaten,,,,"Lalu Lintas, Jalan",bpk,https://peraturan.bpk.go.id/Details/323418/perda-kab-sumenep-no-4-tahun-2025,https://peraturan.bpk.go.id/Download/385246/PERDA%2004%202025%20ttg%20Penyelenggaraan%20Perhubungan%20Darat.pdf,docs\bpk\2025\Kabupaten_Sumenep\Penyelenggaraan_Perhubungan_Darat.pdf,,,,,2025-10-01 08:09:10,2025-10-01T15:09:10.523896
