id,title,number,year,region_name,region_type,region_code,category,subject,status,source,detail_url,pdf_url,pdf_path,description,enacted_date,published_date,metadata,scraped_at,updated_at
561,Fasilitas Kekayaan Intelektual,5,2025,Kabupaten Kudus,Kabupaten,,,,Hak atas Kekayaan Intelektual,bpk,https://peraturan.bpk.go.id/Details/325783/perda-kab-kudus-no-5-tahun-2025,https://peraturan.bpk.go.id/Download/387531/2025pd3319005_sign.pdf,docs\bpk\2025\Kabupaten_Kudus\Fasilitas_Kekayaan_Intelektual.pdf,,,,,2025-10-01 08:09:10,2025-10-01T15:09:10.581324
562,Pembentukan Produk Hukum Daerah,5,2025,Kabupaten Purwakarta,Kabupaten,,,,Pembentukan produk hukum,bpk,https://peraturan.bpk.go.id/Details/327529/perda-kab-purwakarta-no-5-tahun-2025,https://peraturan.bpk.go.id/Download/389303/Perda%20Purwakarta%20No.%205%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Purwakarta\Pembentukan_Produk_Hukum_Daerah.pdf,,,,,2025-10-01 08:09:10,2025-10-01T15:09:10.675592
563,Pertanggungjawaban Pelaksanaan Anggaran Pendapatan dan Belanja Daerah Tahun Anggaran 2024,5,2025,Kabupaten Kebumen,Kabupaten,,,,APBD,bpk,https://peraturan.bpk.go.id/Details/327750/perda-kab-kebumen-no-5-tahun-2025,https://peraturan.bpk.go.id/Download/389514/2025perda33055.pdf,docs\bpk\2025\Kabupaten_Kebumen\Pertanggungjawaban_Pelaksanaan_Anggaran_Pendapatan_dan_Belanja_Daerah_Tahun_Anggaran_2024.pdf,,,,,2025-10-01 08:09:10,2025-10-01T15:09:10.713305
564,Pertanggungjawaban Pelaksanaan Anggaran Pendapatan dan Belanja Daerah Tahun Anggaran 2024,5,2025,Kabupaten Sragen,Kabupaten,,,,APBD,bpk,https://peraturan.bpk.go.id/Details/328099/perda-kab-sragen-no-5-tahun-2025,https://peraturan.bpk.go.id/Download/389951/Perda%20No%205%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Sragen\Pertanggungjawaban_Pelaksanaan_Anggaran_Pendapatan_dan_Belanja_Daerah_Tahun_Anggaran_2024.pdf,,,,,2025-10-01 08:09:10,2025-10-01T15:09:10.742083
565,Rencana Pembangunan Industri Kabupaten Musi Banyuasin Tahun 2024-2044.,5,2025,Kabupaten Musi Banyuasin,Kabupaten,,,,"Program, Rencana Pembangunan dan Rencana Kerja",bpk,https://peraturan.bpk.go.id/Details/319049/perda-kab-musi-banyuasin-no-5-tahun-2025,https://peraturan.bpk.go.id/Download/380599/Perda%20Kab%20Musi%20Banyuasin%20No%205%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Musi_Banyuasin\Rencana_Pembangunan_Industri_Kabupaten_Musi_Banyuasin_Tahun_2024_2044.pdf,,,,,2025-10-01 08:09:10,2025-10-01T15:09:10.769201
566,Rencana Pembangunan dan Pengembangan Perumahan dan Kawasan Permukiman Kabupaten Pasangkayu Tahun 2025-2045,5,2025,Kabupaten Pasangkayu,Kabupaten,,,,"Program, Rencana Pembangunan dan Rencana Kerja",bpk,https://peraturan.bpk.go.id/Details/328702/perda-kab-pasangkayu-no-5-tahun-2025,https://peraturan.bpk.go.id/Download/390583/Perda%20Pasangkayu%20Nomor%205%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Pasangkayu\Rencana_Pembangunan_dan_Pengembangan_Perumahan_dan_Kawasan_Permukiman_Kabupaten_Pasangkayu_Tahun_202.pdf,,,,,2025-10-01 08:09:10,2025-10-01T15:09:10.808500
567,Penyelenggaraan Keolahragaan Daerah,5,2025,Kota Madiun,Kota,,,,Pemuda dan Olah Raga,bpk,https://peraturan.bpk.go.id/Details/328752/perda-kota-madiun-no-5-tahun-2025,https://peraturan.bpk.go.id/Download/390633/5%202025.pdf,docs\bpk\2025\Kota_Madiun\Penyelenggaraan_Keolahragaan_Daerah.pdf,,,,,2025-10-01 08:09:10,2025-10-01T15:09:10.865820
568,Perlindungan Hak Perempuan,4,2025,,,,,,Hak Asasi Manusia,bpk,https://peraturan.bpk.go.id/Details/322076/perda-prov-nad-no-4-tahun-2025,https://peraturan.bpk.go.id/Download/383848/Qanun%20Aceh%20Nomor%204%20Tahun%202025%20tentang%20Perlindungan%20Hak%20Perempuan.pdf,docs\bpk\2025\unknown_region\Perlindungan_Hak_Perempuan.pdf,,,,,2025-10-01 08:09:10,2025-10-01T15:09:10.965936
569,Penyelenggaraan Perhubungan,4,2025,Provinsi Jawa Tengah,Provinsi,,,,"Lalu Lintas, Jalan",bpk,https://peraturan.bpk.go.id/Details/321980/perda-prov-jawa-tengah-no-4-tahun-2025,https://peraturan.bpk.go.id/Download/383747/perda_4_th_2025_edit.pdf,docs\bpk\2025\Provinsi_Jawa_Tengah\Penyelenggaraan_Perhubungan.pdf,,,,,2025-10-01 08:09:10,2025-10-01T15:09:10.985181
570,Perubahan atas Peraturan Daerah Kota Semarang Nomor 10 Tahun 2023 tentang Pajak Daerah dan Retribusi Daerah,4,2025,Kota Semarang,Kota,,,,Pajak dan Retribusi Daerah,bpk,https://peraturan.bpk.go.id/Details/322467/perda-kota-semarang-no-4-tahun-2025,https://peraturan.bpk.go.id/Download/384267/68651193bdd92_2025perda3333__004.pdf,docs\bpk\2025\Kota_Semarang\Perubahan_atas_Peraturan_Daerah_Kota_Semarang_Nomor_10_Tahun_2023_tentang_Pajak_Daerah_dan_Retribusi.pdf,,,,,2025-10-01 08:09:11,2025-10-01T15:09:11.031910
