id,title,number,year,region_name,region_type,region_code,category,subject,status,source,detail_url,pdf_url,pdf_path,description,enacted_date,published_date,metadata,scraped_at,updated_at
563,"Pengelolaan
Jaringan Dokumentasi dan Informasi Hukum
Kabupaten Pamekasan;",7,2025,Kabupaten Pamekasan,Kabupaten,,,,Jaringan Dokumentasi dan Informasi Hukum / JDIH,bpk,https://peraturan.bpk.go.id/Details/318533/perda-kab-pamekasan-no-7-tahun-2025,https://peraturan.bpk.go.id/Download/380010/PERBUP_NOMOR_7_TAHUN_2025-Pengelolaan_Jaringan_Dok.pdf,docs\bpk\2025\Kabupaten_Pamekasan\Pengelolaan_Jaringan_Dokumentasi_dan_Informasi_Hukum_Kabupaten_Pamekasan.pdf,,,,,2025-10-01 08:09:11,2025-10-01T15:09:11.084148
564,Pemberdayaan dan Pelindungan Perempuan,7,2025,Kota Bandung,Kota,,,,"Keluarga, Perlindungan Anak, Perempuan / Wanita",bpk,https://peraturan.bpk.go.id/Details/325279/perda-kota-bandung-no-7-tahun-2025,https://peraturan.bpk.go.id/Download/387038/Perda%20Kota%20Bandung%20No.%207%20Tahun%202025.pdf,docs\bpk\2025\Kota_Bandung\Pemberdayaan_dan_Pelindungan_Perempuan.pdf,,,,,2025-10-01 08:09:11,2025-10-01T15:09:11.294822
565,Perubahan atas Peraturan Daerah Nomor 8 Tahun 2017 tentang Rencana Induk Pembangunan Kepariwisataan Kabupaten Wonosobo Tahun 2017-2032,7,2025,Kabupaten Wonosobo,Kabupaten,,,,"Pariwisata dan Kebudayaan, Program, Rencana Pembangunan dan Rencana Kerja",bpk,https://peraturan.bpk.go.id/Details/324238/perda-kab-wonosobo-no-7-tahun-2025,https://peraturan.bpk.go.id/Download/386039/PERDA%20Wnsb%207_2025.pdf,docs\bpk\2025\Kabupaten_Wonosobo\Perubahan_atas_Peraturan_Daerah_Nomor_8_Tahun_2017_tentang_Rencana_Induk_Pembangunan_Kepariwisataan.pdf,,,,,2025-10-01 08:09:11,2025-10-01T15:09:11.377596
566,Pencabutan Peraturan Daerah Nomor 11 Tahun 2011 tentang Lembaga Kemasyarakatan Kelurahan,7,2025,Kota Surakarta,Kota,,,,Statuta Organisasi / Lembaga,bpk,https://peraturan.bpk.go.id/Details/325128/perda-kota-surakarta-no-7-tahun-2025,https://peraturan.bpk.go.id/Download/386889/2025peraturandaerah-7.pdf,docs\bpk\2025\Kota_Surakarta\Pencabutan_Peraturan_Daerah_Nomor_11_Tahun_2011_tentang_Lembaga_Kemasyarakatan_Kelurahan.pdf,,,,,2025-10-01 08:09:11,2025-10-01T15:09:11.404700
567,Pencabutan 25 (Dua Puluh Lima) Peraturan Daerah Kabupaten Karawang,7,2025,Kabupaten Karawang,Kabupaten,,,,"Otonomi Daerah dan Pemerintah Daerah, Dasar Pembentukan Peraturan Perundang-Undangan",bpk,https://peraturan.bpk.go.id/Details/328314/perda-kab-karawang-no-7-tahun-2025,https://peraturan.bpk.go.id/Download/390166/Perda%20Karawang%20No.%207%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Karawang\Pencabutan_25_Dua_Puluh_Lima_Peraturan_Daerah_Kabupaten_Karawang.pdf,,,,,2025-10-01 08:09:11,2025-10-01T15:09:11.428212
568,Perubahan atas Peraturan Daerah Nomor 5 Tahun 2017 tentang Pengelolaan Sampah,7,2025,Kabupaten Bojonegoro,Kabupaten,,,,Lingkungan Hidup,bpk,https://peraturan.bpk.go.id/Details/327041/perda-kab-bojonegoro-no-7-tahun-2025,https://peraturan.bpk.go.id/Download/388866/PERDA_NO_7_TAHUN_2025_TTG_PERUBAHAN_ATAS_PERDA_NO_.pdf,docs\bpk\2025\Kabupaten_Bojonegoro\Perubahan_atas_Peraturan_Daerah_Nomor_5_Tahun_2017_tentang_Pengelolaan_Sampah.pdf,,,,,2025-10-01 08:09:11,2025-10-01T15:09:11.449642
569,Penyelenggaraan Perkembangan Kependudukan dan Pembangunan Keluarga,7,2025,Kota Madiun,Kota,,,,Kependudukan dan Perkawinan,bpk,https://peraturan.bpk.go.id/Details/328651/perda-kota-madiun-no-7-tahun-2025,https://peraturan.bpk.go.id/Download/390518/7%202025.pdf,docs\bpk\2025\Kota_Madiun\Penyelenggaraan_Perkembangan_Kependudukan_dan_Pembangunan_Keluarga.pdf,,,,,2025-10-01 08:09:11,2025-10-01T15:09:11.472503
570,"Perubahan Kedua atas Peraturan Wali Kota Bekasi Nomor 58 
Tahun 2024 Tentang Penjabaran Anggaran Pendapatan dan 
Belanja Daerah Tahun Anggaran 2025",6,2025,Kota Bekasi,Kota,,,,APBD,bpk,https://peraturan.bpk.go.id/Details/317222/perda-kota-bekasi-no-6-tahun-2025,https://peraturan.bpk.go.id/Download/378553/Perwalikota%20Bekasi%20No.%206%20Tahun%202025.pdf,docs\bpk\2025\Kota_Bekasi\Perubahan_Kedua_atas_Peraturan_Wali_Kota_Bekasi_Nomor_58_Tahun_2024_Tentang_Penjabaran_Anggaran_Pe.pdf,,,,,2025-10-01 08:09:11,2025-10-01T15:09:11.494542
571,Pengelolaan Sampah Spesifik,6,2025,Kota Ambon,Kota,,,,Lingkungan Hidup,bpk,https://peraturan.bpk.go.id/Details/322424/perda-kota-ambon-no-6-tahun-2025,https://peraturan.bpk.go.id/Download/384222/PERDA%20NO.6%20TAHUN%202025.pdf,docs\bpk\2025\Kota_Ambon\Pengelolaan_Sampah_Spesifik.pdf,,,,,2025-10-01 08:09:11,2025-10-01T15:09:11.516815
572,Anggaran Pendapatan Dan Belanja Daerah Kabupaten Maluku Tenggara Tahun Anggaran 2025,6,2025,Kabupaten Maluku Tenggara,Kabupaten,,,,APBD,bpk,https://peraturan.bpk.go.id/Details/318690/perda-kab-maluku-tenggara-no-6-tahun-2025,https://peraturan.bpk.go.id/Download/380205/PERDA%20NO.%206%20TAHUN%202025.pdf,docs\bpk\2025\Kabupaten_Maluku_Tenggara\Anggaran_Pendapatan_Dan_Belanja_Daerah_Kabupaten_Maluku_Tenggara_Tahun_Anggaran_2025.pdf,,,,,2025-10-01 08:09:11,2025-10-01T15:09:11.539447
